"hf" "hm" "C" "r" "sf" "sm" "Poly" "eigPoly" "agree"
0.5 0.5 0 0.5 0.116563827032223 0.634554575430229 0 0 1
0.5 0.5 0 0.5 0.833662145072594 0.382690182887018 0 0 1
0.5 0.5 0 0.5 0.978476306190714 0.884493496734649 1 1 1
0.5 0.5 0 0.5 0.918385546421632 0.606603268301114 0 0 1
0.5 0.5 0 0.5 0.789250724716112 0.234237080905586 0 0 1
0.5 0.5 0 0.5 0.172603384125978 0.791788149625063 0 0 1
0.5 0.5 0 0.5 0.562193276593462 0.0860168712679297 0 0 1
0.5 0.5 0 0.5 0.176338530611247 0.290278472937644 0 0 1
0.5 0.5 0 0.5 0.41537379892543 0.95959845255129 1 1 1
0.5 0.5 0 0.5 0.118325284449384 0.196103404974565 0 0 1
0.5 0.5 0 0.5 0.247071394464001 0.979938083561137 1 1 1
0.5 0.5 0 0.5 0.149498487822711 0.633843585848808 0 0 1
0.5 0.5 0 0.5 0.347343212692067 0.441444189986214 0 0 1
0.5 0.5 0 0.5 0.00314074545167387 0.502756077097729 0 0 1
0.5 0.5 0 0.5 0.545562272658572 0.130689035868272 0 0 1
0.5 0.5 0 0.5 0.378515886608511 0.569730007322505 1 1 1
0.5 0.5 0 0.5 0.0803834935650229 0.119810278061777 0 0 1
0.5 0.5 0 0.5 0.827069465536624 0.0295137627981603 0 0 1
0.5 0.5 0 0.5 0.678191764513031 0.906272080494091 1 1 1
0.5 0.5 0 0.5 0.450877974741161 0.0599538416136056 0 0 1
0.5 0.5 0 0.5 0.720601891167462 0.0299293431453407 0 0 1
0.5 0.5 0 0.5 0.38614344294183 0.332619649590924 0 0 1
0.5 0.5 0 0.5 0.977034824667498 0.887115565827116 1 1 1
0.5 0.5 0 0.5 0.705516683636233 0.0161284748464823 0 0 1
0.5 0.5 0 0.5 0.750379501376301 0.784847631817684 1 1 1
0.5 0.5 0 0.5 0.120084571652114 0.0644445805810392 0 0 1
0.5 0.5 0 0.5 0.225614946568385 0.628979731583968 1 1 1
0.5 0.5 0 0.5 0.807667087996379 0.339468735503033 0 0 1
0.5 0.5 0 0.5 0.631769827799872 0.954894380876794 1 1 1
0.5 0.5 0 0.5 0.0380930507089943 0.586096800165251 0 0 1
0.5 0.5 0 0.5 0.196507410146296 0.0833204826340079 0 0 1
0.5 0.5 0 0.5 0.442223793128505 0.172961592674255 0 0 1
0.5 0.5 0 0.5 0.342712695943192 0.167680145474151 0 0 1
0.5 0.5 0 0.5 0.204739281209186 0.215889823623002 0 0 1
0.5 0.5 0 0.5 0.490302016492933 0.537753358716145 0 0 1
0.5 0.5 0 0.5 0.954559386475012 0.936337306629866 1 1 1
0.5 0.5 0 0.5 0.109823806677014 0.226112999022007 0 0 1
0.5 0.5 0 0.5 0.542593356454745 0.653616165975109 1 1 1
0.5 0.5 0 0.5 0.833263648906723 0.91370404115878 1 1 1
0.5 0.5 0 0.5 0.873303910018876 0.834871557541192 1 1 1
0.5 0.5 0 0.5 0.589514771709219 0.532011956209317 0 0 1
0.5 0.5 0 0.5 0.549689956940711 0.890498036751524 1 1 1
0.5 0.5 0 0.5 0.379684776766226 0.92845824919641 1 1 1
0.5 0.5 0 0.5 0.167121407343075 0.402633331716061 1 1 1
0.5 0.5 0 0.5 0.464859612751752 0.82684810901992 1 1 1
0.5 0.5 0 0.5 0.293219690676779 0.498325215885416 1 1 1
0.5 0.5 0 0.5 0.236902500269935 0.00015711085870862 0 0 1
0.5 0.5 0 0.5 0.221604771213606 0.746334187686443 1 1 1
0.5 0.5 0 0.5 0.633485580794513 0.46890695928596 0 0 1
0.5 0.5 0 0.5 0.811117863981053 0.346895897295326 0 0 1
0.5 0.5 0 0.5 0.298768358072266 0.0377745286095887 0 0 1
0.5 0.5 0 0.5 0.443276054458693 0.366370451869443 0 0 1
0.5 0.5 0 0.5 0.710648406064138 0.687261678744107 1 1 1
0.5 0.5 0 0.5 0.141233638394624 0.00378351402468979 0 0 1
0.5 0.5 0 0.5 0.0777927136514336 0.695683487923816 0 0 1
0.5 0.5 0 0.5 0.137512950226665 0.544632606673986 0 0 1
0.5 0.5 0 0.5 0.792359181679785 0.240128724137321 0 0 1
0.5 0.5 0 0.5 0.941161023685709 0.389421417377889 0 0 1
0.5 0.5 0 0.5 0.823864292120561 0.0548930801451206 0 0 1
0.5 0.5 0 0.5 0.891662647249177 0.187336238566786 0 0 1
0.5 0.5 0 0.5 0.619616084499285 0.216048678616062 0 0 1
0.5 0.5 0 0.5 0.907106339000165 0.614876334555447 0 0 1
0.5 0.5 0 0.5 0.751051091589034 0.537684570299461 0 0 1
0.5 0.5 0 0.5 0.549455354688689 0.224008210469037 0 0 1
0.5 0.5 0 0.5 0.0543385760392994 0.368688866263255 0 0 1
0.5 0.5 0 0.5 0.595997613156214 0.740065224934369 1 1 1
0.5 0.5 0 0.5 0.967410776764154 0.0390500703360885 0 0 1
0.5 0.5 0 0.5 0.0394524207804352 0.272750745527446 0 0 1
0.5 0.5 0 0.5 0.583237870596349 0.19069528626278 0 0 1
0.5 0.5 0 0.5 0.594465568196028 0.596754789818078 0 0 1
0.5 0.5 0 0.5 0.891213994240388 0.351098169339821 0 0 1
