"hf" "hm" "C" "r" "sf" "sm" "Poly" "eigPoly" "agree"
0.5 0.5 0 0.5 0.738011854467914 0.791433187201619 1 1 1
0.5 0.5 0 0.5 0.596261400263757 0.629069609101862 1 1 1
0.5 0.5 0 0.5 0.414895907975733 0.890467061428353 1 1 1
0.5 0.5 0 0.5 0.108080400153995 0.172376610571519 1 0 0
0.5 0.5 0 0.5 0.266960974549875 0.983128353953362 0 1 0
0.5 0.5 0 0.5 0.286768094403669 0.026943086180836 0 0 1
0.5 0.5 0 0.5 0.410711259813979 0.633142739534378 1 1 1
0.5 0.5 0 0.5 0.0792774702422321 0.0441004978492856 1 0 0
0.5 0.5 0 0.5 0.0587032940238714 0.463040865492076 0 1 0
0.5 0.5 0 0.5 0.858022315427661 0.991334311896935 1 1 1
0.5 0.5 0 0.5 0.788391145179048 0.103927235119045 0 0 1
0.5 0.5 0 0.5 0.299866955727339 0.10089145693928 0 0 1
0.5 0.5 0 0.5 0.000896737212315202 0.541494771372527 0 0 1
0.5 0.5 0 0.5 0.581195981940255 0.86362436413765 1 1 1
0.5 0.5 0 0.5 0.935105186188594 0.283976187231019 0 0 1
0.5 0.5 0 0.5 0.839380985125899 0.0677427116315812 0 0 1
0.5 0.5 0 0.5 0.593658773228526 0.972556778229773 1 1 1
0.5 0.5 0 0.5 0.629051006399095 0.164633803069592 0 0 1
0.5 0.5 0 0.5 0.796085072681308 0.774821415310726 1 1 1
0.5 0.5 0 0.5 0.666603613179177 0.962161968462169 1 1 1
0.5 0.5 0 0.5 0.458912284579128 0.708383686607704 1 1 1
0.5 0.5 0 0.5 0.706968624144793 0.560634190682322 1 1 1
0.5 0.5 0 0.5 0.157690261024982 0.82959201419726 0 1 0
0.5 0.5 0 0.5 0.0337482534814626 0.951968764420599 0 0 1
0.5 0.5 0 0.5 0.126542694633827 0.810348153347149 0 1 0
0.5 0.5 0 0.5 0.870199905475602 0.776199224870652 1 1 1
0.5 0.5 0 0.5 0.996578778838739 0.230064186500385 0 0 1
0.5 0.5 0 0.5 0.971592183224857 0.129352741874754 0 0 1
0.5 0.5 0 0.5 0.0646562688052654 0.43609185423702 0 1 0
0.5 0.5 0 0.5 0.985976672032848 0.0554679522756487 0 0 1
0.5 0.5 0 0.5 0.545517257880419 0.23460887093097 0 0 1
0.5 0.5 0 0.5 0.0489191468805075 0.524810668546706 0 0 1
0.5 0.5 0 0.5 0.526262805564329 0.744842105312273 1 1 1
0.5 0.5 0 0.5 0.708581704180688 0.584256073925644 1 1 1
0.5 0.5 0 0.5 0.125203973613679 0.296001101378351 0 0 1
0.5 0.5 0 0.5 0.800104966619983 0.823453908553347 1 1 1
0.5 0.5 0 0.5 0.337007553083822 0.170278508914635 0 0 1
0.5 0.5 0 0.5 0.42261222214438 0.186808210099116 0 0 1
0.5 0.5 0 0.5 0.66626054700464 0.750104172853753 1 1 1
0.5 0.5 0 0.5 0.352198066189885 0.986487044021487 0 1 0
0.5 0.5 0 0.5 0.0172364057507366 0.906586060766131 0 0 1
0.5 0.5 0 0.5 0.0141313138883561 0.425369093893096 0 0 1
0.5 0.5 0 0.5 0.497626042691991 0.0314821740612388 0 0 1
0.5 0.5 0 0.5 0.698791660368443 0.808415533276275 1 1 1
0.5 0.5 0 0.5 0.216161591000855 0.162239189026877 1 0 0
0.5 0.5 0 0.5 0.421117891557515 0.0568111101165414 0 0 1
0.5 0.5 0 0.5 0.921764540951699 0.327033228473738 0 0 1
0.5 0.5 0 0.5 0.61460041673854 0.0185795198194683 0 0 1
0.5 0.5 0 0.5 0.3703184267506 0.92002486740239 0 1 0
0.5 0.5 0 0.5 0.63764905789867 0.0408868743106723 0 0 1
0.5 0.5 0 0.5 0.658225710736588 0.409768740879372 1 0 0
0.5 0.5 0 0.5 0.682500861119479 0.984098558081314 1 1 1
0.5 0.5 0 0.5 0.775591586716473 0.703400957398117 1 1 1
0.5 0.5 0 0.5 0.257447444135323 0.455713686067611 1 0 0
0.5 0.5 0 0.5 0.168214919744059 0.313604383496568 1 0 0
0.5 0.5 0 0.5 0.0384463223163038 0.550014616921544 0 0 1
0.5 0.5 0 0.5 0.557640625396743 0.676112284185365 1 1 1
0.5 0.5 0 0.5 0.741483101854101 0.497436628676951 1 0 0
0.5 0.5 0 0.5 0.233946931781247 0.994872028240934 0 1 0
0.5 0.5 0 0.5 0.296216777060181 0.749458339065313 0 1 0
0.5 0.5 0 0.5 0.771879136096686 0.00948919076472521 0 0 1
0.5 0.5 0 0.5 0.133369480026886 0.901154074119404 0 1 0
0.5 0.5 0 0.5 0.711934229359031 0.905819204170257 1 1 1
0.5 0.5 0 0.5 0.258560531772673 0.551386175910011 0 1 0
0.5 0.5 0 0.5 0.0122055374085903 0.135413827607408 0 0 1
0.5 0.5 0 0.5 0.910599024733528 0.972128926543519 1 1 1
0.5 0.5 0 0.5 0.783079884946346 0.118291120743379 0 0 1
0.5 0.5 0 0.5 0.426499071530998 0.635168082779273 1 1 1
0.5 0.5 0 0.5 0.752596212085336 0.207213156158105 0 0 1
0.5 0.5 0 0.5 0.136258451500908 0.341021097032353 0 0 1
0.5 0.5 0 0.5 0.0126225973945111 0.807998795295134 0 0 1
0.5 0.5 0 0.5 0.500993823166937 0.608910691924393 1 1 1
0.5 0.5 0 0.5 0.620058160973713 0.859589209081605 1 1 1
0.5 0.5 0 0.5 0.37267577345483 0.0340371571946889 0 0 1
0.5 0.5 0 0.5 0.827907504048198 0.80025910679251 1 1 1
0.5 0.5 0 0.5 0.0271170218475163 0.197402629302815 0 1 0
0.5 0.5 0 0.5 0.288521786918864 0.269578930223361 1 0 0
0.5 0.5 0 0.5 0.208291420247406 0.145860397722572 1 0 0
0.5 0.5 0 0.5 0.583404465345666 0.874352826504037 1 1 1
0.5 0.5 0 0.5 0.562428412726149 0.24872423405759 0 0 1
0.5 0.5 0 0.5 0.0309003326110542 0.0232699241023511 1 0 0
0.5 0.5 0 0.5 0.2812651603017 0.894871825352311 0 1 0
0.5 0.5 0 0.5 0.108400494558737 0.141668586060405 1 0 0
0.5 0.5 0 0.5 0.0718196628149599 0.676034136675298 0 1 0
0.5 0.5 0 0.5 0.335931386332959 0.580633791396394 1 1 1
0.5 0.5 0 0.5 0.728364244569093 0.828822698211297 1 1 1
0.5 0.5 0 0.5 0.188123784959316 0.347440324258059 1 0 0
0.5 0.5 0 0.5 0.376818245276809 0.0582533138804138 0 0 1
0.5 0.5 0 0.5 0.165899178944528 0.692099172621965 0 1 0
0.5 0.5 0 0.5 0.984659654321149 0.377848815638572 0 0 1
0.5 0.5 0 0.5 0.765684657730162 0.995250472100452 1 1 1
0.5 0.5 0 0.5 0.262368406867608 0.804446529364213 0 1 0
0.5 0.5 0 0.5 0.6730860627722 0.931980558671057 1 1 1
0.5 0.5 0 0.5 0.369603582425043 0.352312589995563 1 0 0
0.5 0.5 0 0.5 0.420585634885356 0.916360530070961 1 1 1
0.5 0.5 0 0.5 0.756400480400771 0.617442234419286 1 1 1
0.5 0.5 0 0.5 0.226445826468989 0.544270558049902 0 1 0
0.5 0.5 0 0.5 0.579969975864515 0.471912920940667 1 0 0
0.5 0.5 0 0.5 0.825106688309461 0.486669871257618 1 0 0
0.5 0.5 0 0.5 0.00171772972680628 0.680207844823599 0 0 1
0.5 0.5 0 0.5 0.915133399423212 0.746188349789008 1 1 1
0.5 0.5 0 0.5 0.561872768448666 0.550300638889894 1 1 1
0.5 0.5 0 0.5 0.429672916419804 0.348472761688754 1 0 0
0.5 0.5 0 0.5 0.86282449727878 0.698894158704206 1 1 1
0.5 0.5 0 0.5 0.800200724974275 0.528668801765889 1 0 0
0.5 0.5 0 0.5 0.498953758506104 0.17070952965878 0 0 1
0.5 0.5 0 0.5 0.830428974470124 0.758214243454859 1 1 1
0.5 0.5 0 0.5 0.989739579614252 0.174618916818872 0 0 1
0.5 0.5 0 0.5 0.157139624701813 0.178267830517143 1 0 0
0.5 0.5 0 0.5 0.691304624546319 0.199090130627155 0 0 1
0.5 0.5 0 0.5 0.276467809220776 0.513386731501669 1 1 1
0.5 0.5 0 0.5 0.294580770656466 0.851168645778671 0 1 0
0.5 0.5 0 0.5 0.786118514603004 0.285685505019501 0 0 1
0.5 0.5 0 0.5 0.685443273978308 0.305817439453676 0 0 1
0.5 0.5 0 0.5 0.798978519393131 0.500784608069807 1 0 0
0.5 0.5 0 0.5 0.0360560070257634 0.592495116172358 0 0 1
0.5 0.5 0 0.5 0.458133071195334 0.894702085759491 1 1 1
0.5 0.5 0 0.5 0.523738312767819 0.617096450179815 1 1 1
0.5 0.5 0 0.5 0.236951648723334 0.844973814673722 0 1 0
0.5 0.5 0 0.5 0.194133051438257 0.563157113268971 0 1 0
