"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.9 0 0.4985 0.366433333333333
0.5 0.5 0.9 0.01 0.496466666666667 0.3644
0.5 0.5 0.9 0.02 0.493766666666667 0.361566666666667
0.5 0.5 0.9 0.03 0.491733333333333 0.3596
0.5 0.5 0.9 0.04 0.490166666666667 0.357833333333333
0.5 0.5 0.9 0.05 0.488666666666667 0.356166666666667
0.5 0.5 0.9 0.06 0.487066666666667 0.354433333333333
0.5 0.5 0.9 0.07 0.485633333333333 0.3528
0.5 0.5 0.9 0.08 0.484033333333333 0.351166666666667
0.5 0.5 0.9 0.09 0.4826 0.3497
0.5 0.5 0.9 0.1 0.481466666666667 0.348333333333333
0.5 0.5 0.9 0.11 0.480433333333333 0.3471
0.5 0.5 0.9 0.12 0.4799 0.346333333333333
0.5 0.5 0.9 0.13 0.478866666666667 0.345033333333333
0.5 0.5 0.9 0.14 0.4784 0.344266666666667
0.5 0.5 0.9 0.15 0.4775 0.3429
0.5 0.5 0.9 0.16 0.476666666666667 0.341666666666667
0.5 0.5 0.9 0.17 0.475933333333333 0.340833333333333
0.5 0.5 0.9 0.18 0.4752 0.339966666666667
0.5 0.5 0.9 0.19 0.474566666666667 0.339133333333333
0.5 0.5 0.9 0.2 0.474033333333333 0.338233333333333
0.5 0.5 0.9 0.21 0.473133333333333 0.337
0.5 0.5 0.9 0.22 0.472266666666667 0.335966666666667
0.5 0.5 0.9 0.23 0.4717 0.3351
0.5 0.5 0.9 0.24 0.4712 0.334233333333333
0.5 0.5 0.9 0.25 0.4705 0.333366666666667
0.5 0.5 0.9 0.26 0.469866666666667 0.332366666666667
0.5 0.5 0.9 0.27 0.468833333333333 0.331266666666667
0.5 0.5 0.9 0.28 0.4683 0.3307
0.5 0.5 0.9 0.29 0.467733333333333 0.329733333333333
0.5 0.5 0.9 0.3 0.467233333333333 0.329033333333333
0.5 0.5 0.9 0.31 0.466666666666667 0.3279
0.5 0.5 0.9 0.32 0.466266666666667 0.326866666666667
0.5 0.5 0.9 0.33 0.4653 0.3256
0.5 0.5 0.9 0.34 0.4647 0.3249
0.5 0.5 0.9 0.35 0.4641 0.324
0.5 0.5 0.9 0.36 0.463566666666667 0.3232
0.5 0.5 0.9 0.37 0.462766666666667 0.3219
0.5 0.5 0.9 0.38 0.4622 0.321066666666667
0.5 0.5 0.9 0.39 0.461533333333333 0.3201
0.5 0.5 0.9 0.4 0.4607 0.3191
0.5 0.5 0.9 0.41 0.460033333333333 0.318166666666667
0.5 0.5 0.9 0.42 0.459766666666667 0.317766666666667
0.5 0.5 0.9 0.43 0.4595 0.3172
0.5 0.5 0.9 0.44 0.459066666666667 0.316466666666667
0.5 0.5 0.9 0.45 0.458666666666667 0.3158
0.5 0.5 0.9 0.46 0.458166666666667 0.314866666666667
0.5 0.5 0.9 0.47 0.457466666666667 0.313933333333333
0.5 0.5 0.9 0.48 0.457 0.313166666666667
0.5 0.5 0.9 0.49 0.456566666666667 0.312566666666667
0.5 0.5 0.9 0.5 0.4561 0.311733333333333
