"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.4 0 0.661233333333333 0.1157
0.25 0.25 0.4 0.01 0.6476 0.102066666666667
0.25 0.25 0.4 0.02 0.637633333333333 0.0921
0.25 0.25 0.4 0.03 0.628933333333333 0.0834
0.25 0.25 0.4 0.04 0.621 0.0754666666666667
0.25 0.25 0.4 0.05 0.614533333333333 0.069
0.25 0.25 0.4 0.06 0.608866666666667 0.0633333333333333
0.25 0.25 0.4 0.07 0.6045 0.0589666666666667
0.25 0.25 0.4 0.08 0.599833333333333 0.0543
0.25 0.25 0.4 0.09 0.596633333333333 0.0511
0.25 0.25 0.4 0.1 0.594166666666667 0.0486333333333333
0.25 0.25 0.4 0.11 0.590566666666667 0.0450333333333333
0.25 0.25 0.4 0.12 0.5882 0.0426666666666667
0.25 0.25 0.4 0.13 0.5856 0.0400666666666667
0.25 0.25 0.4 0.14 0.583733333333333 0.0382
0.25 0.25 0.4 0.15 0.580866666666667 0.0353333333333333
0.25 0.25 0.4 0.16 0.5788 0.0332666666666667
0.25 0.25 0.4 0.17 0.576333333333333 0.0308
0.25 0.25 0.4 0.18 0.574433333333333 0.0289
0.25 0.25 0.4 0.19 0.572866666666667 0.0273333333333333
0.25 0.25 0.4 0.2 0.5716 0.0260666666666667
0.25 0.25 0.4 0.21 0.570133333333333 0.0246
0.25 0.25 0.4 0.22 0.568433333333333 0.0229
0.25 0.25 0.4 0.23 0.567133333333333 0.0216
0.25 0.25 0.4 0.24 0.564933333333333 0.0194
0.25 0.25 0.4 0.25 0.5635 0.0179666666666667
0.25 0.25 0.4 0.26 0.5621 0.0165666666666667
0.25 0.25 0.4 0.27 0.5605 0.0149666666666667
0.25 0.25 0.4 0.28 0.559166666666667 0.0136333333333333
0.25 0.25 0.4 0.29 0.5582 0.0126666666666667
0.25 0.25 0.4 0.3 0.556666666666667 0.0111333333333333
0.25 0.25 0.4 0.31 0.5559 0.0103666666666667
0.25 0.25 0.4 0.32 0.555 0.00946666666666667
0.25 0.25 0.4 0.33 0.554066666666667 0.00853333333333333
0.25 0.25 0.4 0.34 0.553133333333333 0.0076
0.25 0.25 0.4 0.35 0.5526 0.00706666666666667
0.25 0.25 0.4 0.36 0.5518 0.00626666666666667
0.25 0.25 0.4 0.37 0.5511 0.00556666666666667
0.25 0.25 0.4 0.38 0.550266666666667 0.00473333333333333
0.25 0.25 0.4 0.39 0.5497 0.00416666666666667
0.25 0.25 0.4 0.4 0.5491 0.00356666666666667
0.25 0.25 0.4 0.41 0.548666666666667 0.00313333333333333
0.25 0.25 0.4 0.42 0.548 0.00246666666666667
0.25 0.25 0.4 0.43 0.5477 0.00216666666666667
0.25 0.25 0.4 0.44 0.547466666666667 0.00193333333333333
0.25 0.25 0.4 0.45 0.5469 0.00136666666666667
0.25 0.25 0.4 0.46 0.546566666666667 0.00103333333333333
0.25 0.25 0.4 0.47 0.546266666666667 0.000733333333333333
0.25 0.25 0.4 0.48 0.5462 0.000666666666666667
0.25 0.25 0.4 0.49 0.545966666666667 0.000433333333333333
0.25 0.25 0.4 0.5 0.545833333333333 3e-04
