"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.8 0 0.3689 0.1655
0.5 0.5 0.8 0.01 0.363266666666667 0.159866666666667
0.5 0.5 0.8 0.02 0.358466666666667 0.155066666666667
0.5 0.5 0.8 0.03 0.3551 0.1517
0.5 0.5 0.8 0.04 0.351733333333333 0.148333333333333
0.5 0.5 0.8 0.05 0.348766666666667 0.145366666666667
0.5 0.5 0.8 0.06 0.345366666666667 0.141966666666667
0.5 0.5 0.8 0.07 0.342633333333333 0.139233333333333
0.5 0.5 0.8 0.08 0.339833333333333 0.136433333333333
0.5 0.5 0.8 0.09 0.337866666666667 0.134466666666667
0.5 0.5 0.8 0.1 0.336133333333333 0.132733333333333
0.5 0.5 0.8 0.11 0.3345 0.1311
0.5 0.5 0.8 0.12 0.3329 0.1295
0.5 0.5 0.8 0.13 0.331666666666667 0.128266666666667
0.5 0.5 0.8 0.14 0.3306 0.1272
0.5 0.5 0.8 0.15 0.329733333333333 0.126333333333333
0.5 0.5 0.8 0.16 0.328666666666667 0.125266666666667
0.5 0.5 0.8 0.17 0.3278 0.1244
0.5 0.5 0.8 0.18 0.3265 0.1231
0.5 0.5 0.8 0.19 0.325533333333333 0.122133333333333
0.5 0.5 0.8 0.2 0.324066666666667 0.120666666666667
0.5 0.5 0.8 0.21 0.323166666666667 0.119766666666667
0.5 0.5 0.8 0.22 0.322133333333333 0.118733333333333
0.5 0.5 0.8 0.23 0.321066666666667 0.117666666666667
0.5 0.5 0.8 0.24 0.320233333333333 0.116833333333333
0.5 0.5 0.8 0.25 0.319366666666667 0.115966666666667
0.5 0.5 0.8 0.26 0.318566666666667 0.115166666666667
0.5 0.5 0.8 0.27 0.3178 0.1144
0.5 0.5 0.8 0.28 0.316833333333333 0.113433333333333
0.5 0.5 0.8 0.29 0.316166666666667 0.112766666666667
0.5 0.5 0.8 0.3 0.315366666666667 0.111966666666667
0.5 0.5 0.8 0.31 0.314666666666667 0.111266666666667
0.5 0.5 0.8 0.32 0.313833333333333 0.110433333333333
0.5 0.5 0.8 0.33 0.313066666666667 0.109666666666667
0.5 0.5 0.8 0.34 0.312266666666667 0.108866666666667
0.5 0.5 0.8 0.35 0.311533333333333 0.108133333333333
0.5 0.5 0.8 0.36 0.310666666666667 0.107266666666667
0.5 0.5 0.8 0.37 0.3098 0.1064
0.5 0.5 0.8 0.38 0.3091 0.1057
0.5 0.5 0.8 0.39 0.308133333333333 0.104733333333333
0.5 0.5 0.8 0.4 0.307266666666667 0.103866666666667
0.5 0.5 0.8 0.41 0.3069 0.1035
0.5 0.5 0.8 0.42 0.306033333333333 0.102633333333333
0.5 0.5 0.8 0.43 0.3054 0.102
0.5 0.5 0.8 0.44 0.304733333333333 0.101333333333333
0.5 0.5 0.8 0.45 0.304166666666667 0.100766666666667
0.5 0.5 0.8 0.46 0.303566666666667 0.100166666666667
0.5 0.5 0.8 0.47 0.302966666666667 0.0995666666666667
0.5 0.5 0.8 0.48 0.302 0.0986
0.5 0.5 0.8 0.49 0.301366666666667 0.0979666666666667
0.5 0.5 0.8 0.5 0.300833333333333 0.0974333333333333
