"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.1 0 0.49883 0.11292
0.5 0.5 0.1 0.01 0.4804 0.09758
0.5 0.5 0.1 0.02 0.47069 0.08591
0.5 0.5 0.1 0.03 0.45936 0.07406
0.5 0.5 0.1 0.04 0.45132 0.06669
0.5 0.5 0.1 0.05 0.44091 0.05926
0.5 0.5 0.1 0.06 0.43711 0.05097
0.5 0.5 0.1 0.07 0.4252 0.04358
0.5 0.5 0.1 0.08 0.42075 0.03934
0.5 0.5 0.1 0.09 0.41719 0.03427
0.5 0.5 0.1 0.1 0.41064 0.02953
0.5 0.5 0.1 0.11 0.40718 0.02503
0.5 0.5 0.1 0.12 0.40663 0.02191
0.5 0.5 0.1 0.13 0.40119 0.01832
0.5 0.5 0.1 0.14 0.39757 0.01533
0.5 0.5 0.1 0.15 0.39659 0.01274
0.5 0.5 0.1 0.16 0.39326 0.01161
0.5 0.5 0.1 0.17 0.39054 0.00922
0.5 0.5 0.1 0.18 0.39132 0.00791
0.5 0.5 0.1 0.19 0.38959 0.00722
0.5 0.5 0.1 0.2 0.39036 0.00559
0.5 0.5 0.1 0.21 0.38796 0.00451
0.5 0.5 0.1 0.22 0.38757 0.00378
0.5 0.5 0.1 0.23 0.38622 0.00281
0.5 0.5 0.1 0.24 0.38322 0.00229
0.5 0.5 0.1 0.25 0.38641 0.00162
0.5 0.5 0.1 0.26 0.38602 0.00103
0.5 0.5 0.1 0.27 0.38367 0.00071
0.5 0.5 0.1 0.28 0.3857 0.00034
0.5 0.5 0.1 0.29 0.38101 0.00019
0.5 0.5 0.1 0.3 0.38632 8e-05
0.5 0.5 0.1 0.31 0.38536 1e-05
0.5 0.5 0.1 0.32 0.38382 0
0.5 0.5 0.1 0.33 0.38279 0
0.5 0.5 0.1 0.34 0.38529 0
0.5 0.5 0.1 0.35 0.38253 0
0.5 0.5 0.1 0.36 0.38231 0
0.5 0.5 0.1 0.37 0.38075 0
0.5 0.5 0.1 0.38 0.3857 0
0.5 0.5 0.1 0.39 0.385 0
0.5 0.5 0.1 0.4 0.3823 0
0.5 0.5 0.1 0.41 0.38321 0
0.5 0.5 0.1 0.42 0.38332 0
0.5 0.5 0.1 0.43 0.38562 0
0.5 0.5 0.1 0.44 0.38356 0
0.5 0.5 0.1 0.45 0.3857 0
0.5 0.5 0.1 0.46 0.3858 0
0.5 0.5 0.1 0.47 0.38464 0
0.5 0.5 0.1 0.48 0.38445 0
0.5 0.5 0.1 0.49 0.38793 0
0.5 0.5 0.1 0.5 0.38333 0
