"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.7 0 0.5707 0.2358
0.25 0.25 0.7 0.01 0.5637 0.2227
0.25 0.25 0.7 0.02 0.5603 0.2223
0.25 0.25 0.7 0.03 0.545 0.2177
0.25 0.25 0.7 0.04 0.5404 0.2106
0.25 0.25 0.7 0.05 0.5409 0.2003
0.25 0.25 0.7 0.06 0.5374 0.2065
0.25 0.25 0.7 0.07 0.527 0.1958
0.25 0.25 0.7 0.08 0.5302 0.1908
0.25 0.25 0.7 0.09 0.5184 0.1888
0.25 0.25 0.7 0.1 0.5189 0.1824
0.25 0.25 0.7 0.11 0.5126 0.1755
0.25 0.25 0.7 0.12 0.5158 0.1797
0.25 0.25 0.7 0.13 0.5072 0.1781
0.25 0.25 0.7 0.14 0.5086 0.174
0.25 0.25 0.7 0.15 0.5009 0.1685
0.25 0.25 0.7 0.16 0.5089 0.1797
0.25 0.25 0.7 0.17 0.4963 0.1716
0.25 0.25 0.7 0.18 0.5037 0.1763
0.25 0.25 0.7 0.19 0.4999 0.1667
0.25 0.25 0.7 0.2 0.4998 0.1633
0.25 0.25 0.7 0.21 0.4884 0.162
0.25 0.25 0.7 0.22 0.5009 0.1673
0.25 0.25 0.7 0.23 0.4911 0.1576
0.25 0.25 0.7 0.24 0.4948 0.16
0.25 0.25 0.7 0.25 0.4798 0.1545
0.25 0.25 0.7 0.26 0.4804 0.1437
0.25 0.25 0.7 0.27 0.4894 0.1527
0.25 0.25 0.7 0.28 0.482 0.1478
0.25 0.25 0.7 0.29 0.477 0.1446
0.25 0.25 0.7 0.3 0.4837 0.1533
0.25 0.25 0.7 0.31 0.4797 0.1436
0.25 0.25 0.7 0.32 0.4776 0.1457
0.25 0.25 0.7 0.33 0.4731 0.1463
0.25 0.25 0.7 0.34 0.4765 0.141
0.25 0.25 0.7 0.35 0.4685 0.1419
0.25 0.25 0.7 0.36 0.4708 0.1403
0.25 0.25 0.7 0.37 0.4755 0.1372
0.25 0.25 0.7 0.38 0.467 0.1373
0.25 0.25 0.7 0.39 0.4606 0.1388
0.25 0.25 0.7 0.4 0.4724 0.1384
0.25 0.25 0.7 0.41 0.4651 0.1368
0.25 0.25 0.7 0.42 0.4665 0.1353
0.25 0.25 0.7 0.43 0.4581 0.1266
0.25 0.25 0.7 0.44 0.4594 0.1302
0.25 0.25 0.7 0.45 0.4656 0.1284
0.25 0.25 0.7 0.46 0.4592 0.1292
0.25 0.25 0.7 0.47 0.4567 0.125
0.25 0.25 0.7 0.48 0.4456 0.1222
0.25 0.25 0.7 0.49 0.4508 0.1169
0.25 0.25 0.7 0.5 0.4567 0.1226
