"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.3 0 0.6841 0.087
0.25 0.25 0.3 0.01 0.6697 0.0774
0.25 0.25 0.3 0.02 0.6597 0.0623
0.25 0.25 0.3 0.03 0.6646 0.0539
0.25 0.25 0.3 0.04 0.649 0.0503
0.25 0.25 0.3 0.05 0.6416 0.0444
0.25 0.25 0.3 0.06 0.6355 0.039
0.25 0.25 0.3 0.07 0.6387 0.0335
0.25 0.25 0.3 0.08 0.6354 0.0267
0.25 0.25 0.3 0.09 0.6208 0.0251
0.25 0.25 0.3 0.1 0.6213 0.0254
0.25 0.25 0.3 0.11 0.6256 0.0223
0.25 0.25 0.3 0.12 0.627 0.0168
0.25 0.25 0.3 0.13 0.6209 0.0168
0.25 0.25 0.3 0.14 0.6107 0.0157
0.25 0.25 0.3 0.15 0.6162 0.0133
0.25 0.25 0.3 0.16 0.6207 0.0108
0.25 0.25 0.3 0.17 0.6078 0.0092
0.25 0.25 0.3 0.18 0.6107 0.0079
0.25 0.25 0.3 0.19 0.6036 0.0083
0.25 0.25 0.3 0.2 0.6106 0.0045
0.25 0.25 0.3 0.21 0.6122 0.0047
0.25 0.25 0.3 0.22 0.6079 0.0038
0.25 0.25 0.3 0.23 0.6038 0.0029
0.25 0.25 0.3 0.24 0.6088 0.0025
0.25 0.25 0.3 0.25 0.6094 0.0016
0.25 0.25 0.3 0.26 0.5994 0.0024
0.25 0.25 0.3 0.27 0.5981 0.001
0.25 0.25 0.3 0.28 0.6026 7e-04
0.25 0.25 0.3 0.29 0.5998 5e-04
0.25 0.25 0.3 0.3 0.6035 2e-04
0.25 0.25 0.3 0.31 0.6109 0
0.25 0.25 0.3 0.32 0.5992 0
0.25 0.25 0.3 0.33 0.6032 0
0.25 0.25 0.3 0.34 0.6137 0
0.25 0.25 0.3 0.35 0.6023 0
0.25 0.25 0.3 0.36 0.6058 0
0.25 0.25 0.3 0.37 0.5967 0
0.25 0.25 0.3 0.38 0.6108 0
0.25 0.25 0.3 0.39 0.6012 0
0.25 0.25 0.3 0.4 0.5985 0
0.25 0.25 0.3 0.41 0.6046 0
0.25 0.25 0.3 0.42 0.6102 0
0.25 0.25 0.3 0.43 0.611 0
0.25 0.25 0.3 0.44 0.6042 0
0.25 0.25 0.3 0.45 0.5967 0
0.25 0.25 0.3 0.46 0.5938 0
0.25 0.25 0.3 0.47 0.604 0
0.25 0.25 0.3 0.48 0.6056 0
0.25 0.25 0.3 0.49 0.6051 0
0.25 0.25 0.3 0.5 0.6013 0
