"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.4 0 0.65976 0.11656
0.25 0.25 0.4 0.01 0.64867 0.10265
0.25 0.25 0.4 0.02 0.64079 0.09187
0.25 0.25 0.4 0.03 0.63133 0.08359
0.25 0.25 0.4 0.04 0.6204 0.07477
0.25 0.25 0.4 0.05 0.61416 0.06906
0.25 0.25 0.4 0.06 0.61267 0.06426
0.25 0.25 0.4 0.07 0.6061 0.05871
0.25 0.25 0.4 0.08 0.60305 0.05426
0.25 0.25 0.4 0.09 0.59953 0.05125
0.25 0.25 0.4 0.1 0.59765 0.04832
0.25 0.25 0.4 0.11 0.59341 0.04556
0.25 0.25 0.4 0.12 0.58983 0.0425
0.25 0.25 0.4 0.13 0.58899 0.04061
0.25 0.25 0.4 0.14 0.58358 0.03747
0.25 0.25 0.4 0.15 0.58485 0.03625
0.25 0.25 0.4 0.16 0.5792 0.03269
0.25 0.25 0.4 0.17 0.57827 0.03083
0.25 0.25 0.4 0.18 0.57717 0.02912
0.25 0.25 0.4 0.19 0.57734 0.02838
0.25 0.25 0.4 0.2 0.57071 0.02524
0.25 0.25 0.4 0.21 0.57199 0.02409
0.25 0.25 0.4 0.22 0.57062 0.02188
0.25 0.25 0.4 0.23 0.56616 0.01991
0.25 0.25 0.4 0.24 0.56939 0.01971
0.25 0.25 0.4 0.25 0.56451 0.01733
0.25 0.25 0.4 0.26 0.56188 0.01663
0.25 0.25 0.4 0.27 0.56322 0.0149
0.25 0.25 0.4 0.28 0.55998 0.01455
0.25 0.25 0.4 0.29 0.5589 0.01237
0.25 0.25 0.4 0.3 0.55706 0.01224
0.25 0.25 0.4 0.31 0.55696 0.01011
0.25 0.25 0.4 0.32 0.55933 0.01029
0.25 0.25 0.4 0.33 0.55574 0.0082
0.25 0.25 0.4 0.34 0.55676 0.00806
0.25 0.25 0.4 0.35 0.55344 0.00737
0.25 0.25 0.4 0.36 0.5507 0.00657
0.25 0.25 0.4 0.37 0.55493 0.00555
0.25 0.25 0.4 0.38 0.55215 0.0047
0.25 0.25 0.4 0.39 0.55263 0.00451
0.25 0.25 0.4 0.4 0.55237 0.00401
0.25 0.25 0.4 0.41 0.5491 0.00353
0.25 0.25 0.4 0.42 0.55262 0.00289
0.25 0.25 0.4 0.43 0.54947 0.00254
0.25 0.25 0.4 0.44 0.55115 0.00211
0.25 0.25 0.4 0.45 0.54651 0.00155
0.25 0.25 0.4 0.46 0.54887 0.00128
0.25 0.25 0.4 0.47 0.54773 0.00113
0.25 0.25 0.4 0.48 0.54876 0.00088
0.25 0.25 0.4 0.49 0.55264 6e-04
0.25 0.25 0.4 0.5 0.54794 0.00025
