"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.6 0 0.6018 0.1883
0.25 0.25 0.6 0.01 0.5863 0.1755
0.25 0.25 0.6 0.02 0.5862 0.1686
0.25 0.25 0.6 0.03 0.5742 0.16
0.25 0.25 0.6 0.04 0.5552 0.1547
0.25 0.25 0.6 0.05 0.5555 0.1379
0.25 0.25 0.6 0.06 0.5475 0.1398
0.25 0.25 0.6 0.07 0.5501 0.1372
0.25 0.25 0.6 0.08 0.5385 0.1325
0.25 0.25 0.6 0.09 0.5412 0.1307
0.25 0.25 0.6 0.1 0.5431 0.1336
0.25 0.25 0.6 0.11 0.5339 0.1278
0.25 0.25 0.6 0.12 0.5304 0.1213
0.25 0.25 0.6 0.13 0.53 0.1231
0.25 0.25 0.6 0.14 0.5284 0.1203
0.25 0.25 0.6 0.15 0.5168 0.1072
0.25 0.25 0.6 0.16 0.5264 0.1113
0.25 0.25 0.6 0.17 0.5237 0.1094
0.25 0.25 0.6 0.18 0.5069 0.1011
0.25 0.25 0.6 0.19 0.5165 0.1009
0.25 0.25 0.6 0.2 0.5133 0.1035
0.25 0.25 0.6 0.21 0.5166 0.1061
0.25 0.25 0.6 0.22 0.5129 0.097
0.25 0.25 0.6 0.23 0.5165 0.1016
0.25 0.25 0.6 0.24 0.5045 0.0952
0.25 0.25 0.6 0.25 0.5039 0.0963
0.25 0.25 0.6 0.26 0.5038 0.094
0.25 0.25 0.6 0.27 0.4938 0.0903
0.25 0.25 0.6 0.28 0.4981 0.09
0.25 0.25 0.6 0.29 0.4934 0.0843
0.25 0.25 0.6 0.3 0.4928 0.0873
0.25 0.25 0.6 0.31 0.4962 0.0833
0.25 0.25 0.6 0.32 0.5018 0.0806
0.25 0.25 0.6 0.33 0.4977 0.0843
0.25 0.25 0.6 0.34 0.4864 0.0792
0.25 0.25 0.6 0.35 0.4938 0.0794
0.25 0.25 0.6 0.36 0.4931 0.0769
0.25 0.25 0.6 0.37 0.4861 0.0831
0.25 0.25 0.6 0.38 0.4837 0.0749
0.25 0.25 0.6 0.39 0.49 0.0758
0.25 0.25 0.6 0.4 0.4843 0.069
0.25 0.25 0.6 0.41 0.4782 0.0715
0.25 0.25 0.6 0.42 0.4836 0.0648
0.25 0.25 0.6 0.43 0.4836 0.0674
0.25 0.25 0.6 0.44 0.4749 0.0633
0.25 0.25 0.6 0.45 0.4786 0.0623
0.25 0.25 0.6 0.46 0.4719 0.0632
0.25 0.25 0.6 0.47 0.4749 0.0635
0.25 0.25 0.6 0.48 0.4752 0.0596
0.25 0.25 0.6 0.49 0.472 0.0585
0.25 0.25 0.6 0.5 0.4688 0.0615
