"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.3 0 0.50936 0.1463
0.5 0.5 0.3 0.01 0.49441 0.12855
0.5 0.5 0.3 0.02 0.48241 0.12135
0.5 0.5 0.3 0.03 0.47431 0.11085
0.5 0.5 0.3 0.04 0.46966 0.10318
0.5 0.5 0.3 0.05 0.46314 0.09749
0.5 0.5 0.3 0.06 0.45112 0.08875
0.5 0.5 0.3 0.07 0.44688 0.08368
0.5 0.5 0.3 0.08 0.44415 0.07564
0.5 0.5 0.3 0.09 0.43954 0.07177
0.5 0.5 0.3 0.1 0.43219 0.06645
0.5 0.5 0.3 0.11 0.42735 0.06288
0.5 0.5 0.3 0.12 0.42272 0.05938
0.5 0.5 0.3 0.13 0.42186 0.05644
0.5 0.5 0.3 0.14 0.41928 0.0538
0.5 0.5 0.3 0.15 0.41884 0.05262
0.5 0.5 0.3 0.16 0.41526 0.04801
0.5 0.5 0.3 0.17 0.41352 0.0477
0.5 0.5 0.3 0.18 0.41199 0.04573
0.5 0.5 0.3 0.19 0.41007 0.04347
0.5 0.5 0.3 0.2 0.40555 0.04185
0.5 0.5 0.3 0.21 0.40499 0.03947
0.5 0.5 0.3 0.22 0.40004 0.03785
0.5 0.5 0.3 0.23 0.39883 0.03592
0.5 0.5 0.3 0.24 0.3992 0.03349
0.5 0.5 0.3 0.25 0.39687 0.03184
0.5 0.5 0.3 0.26 0.39882 0.03223
0.5 0.5 0.3 0.27 0.39574 0.0307
0.5 0.5 0.3 0.28 0.39404 0.02888
0.5 0.5 0.3 0.29 0.39507 0.028
0.5 0.5 0.3 0.3 0.39076 0.02605
0.5 0.5 0.3 0.31 0.39124 0.02426
0.5 0.5 0.3 0.32 0.387 0.02361
0.5 0.5 0.3 0.33 0.38816 0.02231
0.5 0.5 0.3 0.34 0.38693 0.02128
0.5 0.5 0.3 0.35 0.3838 0.02
0.5 0.5 0.3 0.36 0.38668 0.01956
0.5 0.5 0.3 0.37 0.38665 0.01918
0.5 0.5 0.3 0.38 0.38458 0.01725
0.5 0.5 0.3 0.39 0.3819 0.01688
0.5 0.5 0.3 0.4 0.38265 0.01546
0.5 0.5 0.3 0.41 0.37873 0.01437
0.5 0.5 0.3 0.42 0.38218 0.01378
0.5 0.5 0.3 0.43 0.37898 0.01293
0.5 0.5 0.3 0.44 0.38191 0.01186
0.5 0.5 0.3 0.45 0.37639 0.01102
0.5 0.5 0.3 0.46 0.37628 0.01107
0.5 0.5 0.3 0.47 0.37495 0.0101
0.5 0.5 0.3 0.48 0.37679 0.00979
0.5 0.5 0.3 0.49 0.37448 0.00865
0.5 0.5 0.3 0.5 0.37406 0.00843
