"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.6 0 0.5116 0.2203
0.5 0.5 0.6 0.01 0.5086 0.2115
0.5 0.5 0.6 0.02 0.5089 0.206
0.5 0.5 0.6 0.03 0.492 0.1988
0.5 0.5 0.6 0.04 0.4876 0.1911
0.5 0.5 0.6 0.05 0.4845 0.1848
0.5 0.5 0.6 0.06 0.473 0.1819
0.5 0.5 0.6 0.07 0.4707 0.1758
0.5 0.5 0.6 0.08 0.4632 0.1737
0.5 0.5 0.6 0.09 0.459 0.1609
0.5 0.5 0.6 0.1 0.4632 0.1623
0.5 0.5 0.6 0.11 0.4534 0.1582
0.5 0.5 0.6 0.12 0.4581 0.1595
0.5 0.5 0.6 0.13 0.4557 0.1572
0.5 0.5 0.6 0.14 0.4496 0.1522
0.5 0.5 0.6 0.15 0.4441 0.1537
0.5 0.5 0.6 0.16 0.4434 0.1538
0.5 0.5 0.6 0.17 0.435 0.1509
0.5 0.5 0.6 0.18 0.4389 0.1442
0.5 0.5 0.6 0.19 0.4447 0.1412
0.5 0.5 0.6 0.2 0.4457 0.1485
0.5 0.5 0.6 0.21 0.4422 0.1448
0.5 0.5 0.6 0.22 0.4362 0.1427
0.5 0.5 0.6 0.23 0.4409 0.1399
0.5 0.5 0.6 0.24 0.4245 0.1336
0.5 0.5 0.6 0.25 0.4245 0.1347
0.5 0.5 0.6 0.26 0.4265 0.1309
0.5 0.5 0.6 0.27 0.4266 0.1321
0.5 0.5 0.6 0.28 0.4291 0.1325
0.5 0.5 0.6 0.29 0.4322 0.1352
0.5 0.5 0.6 0.3 0.4274 0.1304
0.5 0.5 0.6 0.31 0.4291 0.1347
0.5 0.5 0.6 0.32 0.4229 0.1227
0.5 0.5 0.6 0.33 0.4177 0.1205
0.5 0.5 0.6 0.34 0.4132 0.1267
0.5 0.5 0.6 0.35 0.4164 0.1244
0.5 0.5 0.6 0.36 0.4115 0.1221
0.5 0.5 0.6 0.37 0.4129 0.1205
0.5 0.5 0.6 0.38 0.4115 0.1186
0.5 0.5 0.6 0.39 0.4168 0.1202
0.5 0.5 0.6 0.4 0.4096 0.1148
0.5 0.5 0.6 0.41 0.4069 0.1171
0.5 0.5 0.6 0.42 0.4199 0.1089
0.5 0.5 0.6 0.43 0.4078 0.1095
0.5 0.5 0.6 0.44 0.4082 0.1091
0.5 0.5 0.6 0.45 0.4086 0.1124
0.5 0.5 0.6 0.46 0.4123 0.111
0.5 0.5 0.6 0.47 0.402 0.1072
0.5 0.5 0.6 0.48 0.4064 0.1026
0.5 0.5 0.6 0.49 0.399 0.1025
0.5 0.5 0.6 0.5 0.4084 0.1059
