"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.2 0 0.50203 0.12425
0.5 0.5 0.2 0.01 0.49011 0.1136
0.5 0.5 0.2 0.02 0.48013 0.09908
0.5 0.5 0.2 0.03 0.46859 0.09063
0.5 0.5 0.2 0.04 0.45913 0.08385
0.5 0.5 0.2 0.05 0.451 0.07435
0.5 0.5 0.2 0.06 0.44065 0.06709
0.5 0.5 0.2 0.07 0.43773 0.06043
0.5 0.5 0.2 0.08 0.43425 0.05569
0.5 0.5 0.2 0.09 0.42801 0.05061
0.5 0.5 0.2 0.1 0.42359 0.04494
0.5 0.5 0.2 0.11 0.41667 0.04126
0.5 0.5 0.2 0.12 0.41613 0.03866
0.5 0.5 0.2 0.13 0.41181 0.03476
0.5 0.5 0.2 0.14 0.41011 0.03148
0.5 0.5 0.2 0.15 0.40487 0.02786
0.5 0.5 0.2 0.16 0.40308 0.02747
0.5 0.5 0.2 0.17 0.40084 0.02482
0.5 0.5 0.2 0.18 0.40367 0.02382
0.5 0.5 0.2 0.19 0.39478 0.0208
0.5 0.5 0.2 0.2 0.39616 0.01998
0.5 0.5 0.2 0.21 0.39598 0.01853
0.5 0.5 0.2 0.22 0.39521 0.01659
0.5 0.5 0.2 0.23 0.39506 0.0157
0.5 0.5 0.2 0.24 0.39029 0.01391
0.5 0.5 0.2 0.25 0.38893 0.01294
0.5 0.5 0.2 0.26 0.38842 0.01193
0.5 0.5 0.2 0.27 0.38712 0.01102
0.5 0.5 0.2 0.28 0.38745 0.00989
0.5 0.5 0.2 0.29 0.38665 0.00896
0.5 0.5 0.2 0.3 0.38535 0.00755
0.5 0.5 0.2 0.31 0.3802 0.00697
0.5 0.5 0.2 0.32 0.38263 0.00624
0.5 0.5 0.2 0.33 0.38335 0.00557
0.5 0.5 0.2 0.34 0.3823 0.00468
0.5 0.5 0.2 0.35 0.38094 0.00426
0.5 0.5 0.2 0.36 0.37946 0.0031
0.5 0.5 0.2 0.37 0.37994 0.00314
0.5 0.5 0.2 0.38 0.38124 0.00268
0.5 0.5 0.2 0.39 0.38081 0.002
0.5 0.5 0.2 0.4 0.37832 0.00187
0.5 0.5 0.2 0.41 0.37978 0.00143
0.5 0.5 0.2 0.42 0.37684 0.00113
0.5 0.5 0.2 0.43 0.37814 0.00069
0.5 0.5 0.2 0.44 0.37612 0.00046
0.5 0.5 0.2 0.45 0.37854 0.00044
0.5 0.5 0.2 0.46 0.37881 0.00018
0.5 0.5 0.2 0.47 0.3753 5e-05
0.5 0.5 0.2 0.48 0.37644 2e-05
0.5 0.5 0.2 0.49 0.37843 1e-05
0.5 0.5 0.2 0.5 0.37918 0
