"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.3 0 0.508866666666667 0.147466666666667
0.5 0.5 0.3 0.01 0.496033333333333 0.134633333333333
0.5 0.5 0.3 0.02 0.484833333333333 0.123433333333333
0.5 0.5 0.3 0.03 0.475533333333333 0.114133333333333
0.5 0.5 0.3 0.04 0.4677 0.1063
0.5 0.5 0.3 0.05 0.4591 0.0977
0.5 0.5 0.3 0.06 0.452366666666667 0.0909666666666667
0.5 0.5 0.3 0.07 0.4468 0.0854
0.5 0.5 0.3 0.08 0.4411 0.0797
0.5 0.5 0.3 0.09 0.435966666666667 0.0745666666666667
0.5 0.5 0.3 0.1 0.431 0.0696
0.5 0.5 0.3 0.11 0.4271 0.0657
0.5 0.5 0.3 0.12 0.4226 0.0612
0.5 0.5 0.3 0.13 0.419366666666667 0.0579666666666667
0.5 0.5 0.3 0.14 0.416766666666667 0.0553666666666667
0.5 0.5 0.3 0.15 0.414433333333333 0.0530333333333333
0.5 0.5 0.3 0.16 0.412133333333333 0.0507333333333333
0.5 0.5 0.3 0.17 0.410066666666667 0.0486666666666667
0.5 0.5 0.3 0.18 0.407966666666667 0.0465666666666667
0.5 0.5 0.3 0.19 0.405466666666667 0.0440666666666667
0.5 0.5 0.3 0.2 0.403166666666667 0.0417666666666667
0.5 0.5 0.3 0.21 0.401 0.0396
0.5 0.5 0.3 0.22 0.3994 0.038
0.5 0.5 0.3 0.23 0.3979 0.0365
0.5 0.5 0.3 0.24 0.3964 0.035
0.5 0.5 0.3 0.25 0.3951 0.0337
0.5 0.5 0.3 0.26 0.3935 0.0321
0.5 0.5 0.3 0.27 0.3921 0.0307
0.5 0.5 0.3 0.28 0.3908 0.0294
0.5 0.5 0.3 0.29 0.3895 0.0281
0.5 0.5 0.3 0.3 0.388366666666667 0.0269666666666667
0.5 0.5 0.3 0.31 0.387366666666667 0.0259666666666667
0.5 0.5 0.3 0.32 0.3861 0.0247
0.5 0.5 0.3 0.33 0.385033333333333 0.0236333333333333
0.5 0.5 0.3 0.34 0.384033333333333 0.0226333333333333
0.5 0.5 0.3 0.35 0.3823 0.0209
0.5 0.5 0.3 0.36 0.381 0.0196
0.5 0.5 0.3 0.37 0.380133333333333 0.0187333333333333
0.5 0.5 0.3 0.38 0.3795 0.0181
0.5 0.5 0.3 0.39 0.378233333333333 0.0168333333333333
0.5 0.5 0.3 0.4 0.377366666666667 0.0159666666666667
0.5 0.5 0.3 0.41 0.376733333333333 0.0153333333333333
0.5 0.5 0.3 0.42 0.375833333333333 0.0144333333333333
0.5 0.5 0.3 0.43 0.374966666666667 0.0135666666666667
0.5 0.5 0.3 0.44 0.374266666666667 0.0128666666666667
0.5 0.5 0.3 0.45 0.373433333333333 0.0120333333333333
0.5 0.5 0.3 0.46 0.372766666666667 0.0113666666666667
0.5 0.5 0.3 0.47 0.372266666666667 0.0108666666666667
0.5 0.5 0.3 0.48 0.371566666666667 0.0101666666666667
0.5 0.5 0.3 0.49 0.370866666666667 0.00946666666666667
0.5 0.5 0.3 0.5 0.3702 0.0088
