"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.4 0 0.5147 0.1687
0.5 0.5 0.4 0.01 0.502933333333333 0.156933333333333
0.5 0.5 0.4 0.02 0.4934 0.1474
0.5 0.5 0.4 0.03 0.4841 0.1381
0.5 0.5 0.4 0.04 0.476433333333333 0.130433333333333
0.5 0.5 0.4 0.05 0.469433333333333 0.123433333333333
0.5 0.5 0.4 0.06 0.463233333333333 0.117233333333333
0.5 0.5 0.4 0.07 0.456266666666667 0.110266666666667
0.5 0.5 0.4 0.08 0.451433333333333 0.105433333333333
0.5 0.5 0.4 0.09 0.4474 0.1014
0.5 0.5 0.4 0.1 0.443566666666667 0.0975666666666667
0.5 0.5 0.4 0.11 0.4391 0.0931
0.5 0.5 0.4 0.12 0.4362 0.0902
0.5 0.5 0.4 0.13 0.4337 0.0877
0.5 0.5 0.4 0.14 0.4305 0.0845
0.5 0.5 0.4 0.15 0.428333333333333 0.0823333333333333
0.5 0.5 0.4 0.16 0.4259 0.0799
0.5 0.5 0.4 0.17 0.4234 0.0774
0.5 0.5 0.4 0.18 0.4212 0.0752
0.5 0.5 0.4 0.19 0.4191 0.0731
0.5 0.5 0.4 0.2 0.417033333333333 0.0710333333333333
0.5 0.5 0.4 0.21 0.414866666666667 0.0688666666666667
0.5 0.5 0.4 0.22 0.413066666666667 0.0670666666666667
0.5 0.5 0.4 0.23 0.4112 0.0652
0.5 0.5 0.4 0.24 0.409666666666667 0.0636666666666667
0.5 0.5 0.4 0.25 0.407966666666667 0.0619666666666667
0.5 0.5 0.4 0.26 0.406566666666667 0.0605666666666667
0.5 0.5 0.4 0.27 0.404733333333333 0.0587333333333333
0.5 0.5 0.4 0.28 0.403033333333333 0.0570333333333333
0.5 0.5 0.4 0.29 0.401433333333333 0.0554333333333333
0.5 0.5 0.4 0.3 0.4002 0.0542
0.5 0.5 0.4 0.31 0.398833333333333 0.0528333333333333
0.5 0.5 0.4 0.32 0.397366666666667 0.0513666666666667
0.5 0.5 0.4 0.33 0.3962 0.0502
0.5 0.5 0.4 0.34 0.3953 0.0493
0.5 0.5 0.4 0.35 0.394166666666667 0.0481666666666667
0.5 0.5 0.4 0.36 0.392566666666667 0.0465666666666667
0.5 0.5 0.4 0.37 0.390866666666667 0.0448666666666667
0.5 0.5 0.4 0.38 0.389966666666667 0.0439666666666667
0.5 0.5 0.4 0.39 0.388966666666667 0.0429666666666667
0.5 0.5 0.4 0.4 0.387633333333333 0.0416333333333333
0.5 0.5 0.4 0.41 0.386466666666667 0.0404666666666667
0.5 0.5 0.4 0.42 0.3854 0.0394
0.5 0.5 0.4 0.43 0.384266666666667 0.0382666666666667
0.5 0.5 0.4 0.44 0.3829 0.0369
0.5 0.5 0.4 0.45 0.381633333333333 0.0356333333333333
0.5 0.5 0.4 0.46 0.380866666666667 0.0348666666666667
0.5 0.5 0.4 0.47 0.379966666666667 0.0339666666666667
0.5 0.5 0.4 0.48 0.379166666666667 0.0331666666666667
0.5 0.5 0.4 0.49 0.3779 0.0319
0.5 0.5 0.4 0.5 0.376933333333333 0.0309333333333333
