"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.9 0 0.5031 0.3643
0.25 0.25 0.9 0.01 0.4996 0.3581
0.25 0.25 0.9 0.02 0.5032 0.3658
0.25 0.25 0.9 0.03 0.4981 0.3558
0.25 0.25 0.9 0.04 0.4995 0.3555
0.25 0.25 0.9 0.05 0.4956 0.3573
0.25 0.25 0.9 0.06 0.4949 0.351
0.25 0.25 0.9 0.07 0.4933 0.3508
0.25 0.25 0.9 0.08 0.4858 0.3411
0.25 0.25 0.9 0.09 0.4962 0.3436
0.25 0.25 0.9 0.1 0.4867 0.3379
0.25 0.25 0.9 0.11 0.4829 0.3356
0.25 0.25 0.9 0.12 0.4874 0.343
0.25 0.25 0.9 0.13 0.4863 0.3354
0.25 0.25 0.9 0.14 0.4857 0.3405
0.25 0.25 0.9 0.15 0.4877 0.3422
0.25 0.25 0.9 0.16 0.4842 0.3348
0.25 0.25 0.9 0.17 0.4791 0.3378
0.25 0.25 0.9 0.18 0.4828 0.3339
0.25 0.25 0.9 0.19 0.487 0.3319
0.25 0.25 0.9 0.2 0.491 0.3321
0.25 0.25 0.9 0.21 0.4715 0.3245
0.25 0.25 0.9 0.22 0.482 0.3264
0.25 0.25 0.9 0.23 0.4773 0.3281
0.25 0.25 0.9 0.24 0.4652 0.3205
0.25 0.25 0.9 0.25 0.4786 0.3318
0.25 0.25 0.9 0.26 0.4776 0.3319
0.25 0.25 0.9 0.27 0.4746 0.3247
0.25 0.25 0.9 0.28 0.4695 0.3236
0.25 0.25 0.9 0.29 0.4622 0.3098
0.25 0.25 0.9 0.3 0.4737 0.3213
0.25 0.25 0.9 0.31 0.4768 0.3265
0.25 0.25 0.9 0.32 0.4674 0.3199
0.25 0.25 0.9 0.33 0.468 0.319
0.25 0.25 0.9 0.34 0.4657 0.3185
0.25 0.25 0.9 0.35 0.4701 0.3144
0.25 0.25 0.9 0.36 0.4819 0.3233
0.25 0.25 0.9 0.37 0.4802 0.3264
0.25 0.25 0.9 0.38 0.4646 0.3133
0.25 0.25 0.9 0.39 0.4678 0.3125
0.25 0.25 0.9 0.4 0.4692 0.3109
0.25 0.25 0.9 0.41 0.4609 0.3053
0.25 0.25 0.9 0.42 0.4716 0.3127
0.25 0.25 0.9 0.43 0.4577 0.3038
0.25 0.25 0.9 0.44 0.4603 0.3077
0.25 0.25 0.9 0.45 0.4634 0.3122
0.25 0.25 0.9 0.46 0.4645 0.309
0.25 0.25 0.9 0.47 0.4653 0.3118
0.25 0.25 0.9 0.48 0.4582 0.3046
0.25 0.25 0.9 0.49 0.4574 0.3051
0.25 0.25 0.9 0.5 0.4543 0.304
