"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.5 0 0.5164 0.1877
0.5 0.5 0.5 0.01 0.5017 0.1773
0.5 0.5 0.5 0.02 0.4961 0.1705
0.5 0.5 0.5 0.03 0.4832 0.1626
0.5 0.5 0.5 0.04 0.4829 0.1569
0.5 0.5 0.5 0.05 0.4766 0.1475
0.5 0.5 0.5 0.06 0.4694 0.1371
0.5 0.5 0.5 0.07 0.4728 0.1413
0.5 0.5 0.5 0.08 0.463 0.1362
0.5 0.5 0.5 0.09 0.4426 0.1266
0.5 0.5 0.5 0.1 0.4463 0.1263
0.5 0.5 0.5 0.11 0.4509 0.1161
0.5 0.5 0.5 0.12 0.4499 0.1225
0.5 0.5 0.5 0.13 0.4394 0.1196
0.5 0.5 0.5 0.14 0.44 0.1141
0.5 0.5 0.5 0.15 0.4359 0.1125
0.5 0.5 0.5 0.16 0.4254 0.1046
0.5 0.5 0.5 0.17 0.4358 0.1069
0.5 0.5 0.5 0.18 0.436 0.1106
0.5 0.5 0.5 0.19 0.4319 0.1012
0.5 0.5 0.5 0.2 0.4265 0.1025
0.5 0.5 0.5 0.21 0.4256 0.1045
0.5 0.5 0.5 0.22 0.4239 0.1021
0.5 0.5 0.5 0.23 0.4257 0.1007
0.5 0.5 0.5 0.24 0.4301 0.1029
0.5 0.5 0.5 0.25 0.4308 0.0979
0.5 0.5 0.5 0.26 0.4126 0.0931
0.5 0.5 0.5 0.27 0.4133 0.0916
0.5 0.5 0.5 0.28 0.4092 0.0865
0.5 0.5 0.5 0.29 0.4162 0.0876
0.5 0.5 0.5 0.3 0.4131 0.09
0.5 0.5 0.5 0.31 0.4208 0.0828
0.5 0.5 0.5 0.32 0.4063 0.0813
0.5 0.5 0.5 0.33 0.4107 0.0813
0.5 0.5 0.5 0.34 0.3961 0.075
0.5 0.5 0.5 0.35 0.4036 0.082
0.5 0.5 0.5 0.36 0.4037 0.0765
0.5 0.5 0.5 0.37 0.4112 0.0822
0.5 0.5 0.5 0.38 0.406 0.0792
0.5 0.5 0.5 0.39 0.4015 0.0816
0.5 0.5 0.5 0.4 0.399 0.0759
0.5 0.5 0.5 0.41 0.3948 0.076
0.5 0.5 0.5 0.42 0.3938 0.0721
0.5 0.5 0.5 0.43 0.3959 0.0705
0.5 0.5 0.5 0.44 0.4029 0.0714
0.5 0.5 0.5 0.45 0.3939 0.0696
0.5 0.5 0.5 0.46 0.3938 0.0675
0.5 0.5 0.5 0.47 0.3892 0.0631
0.5 0.5 0.5 0.48 0.3889 0.0623
0.5 0.5 0.5 0.49 0.3864 0.0657
0.5 0.5 0.5 0.5 0.3877 0.0633
