"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.4 0 0.51198 0.16459
0.5 0.5 0.4 0.01 0.49913 0.15148
0.5 0.5 0.4 0.02 0.49309 0.14383
0.5 0.5 0.4 0.03 0.48142 0.13385
0.5 0.5 0.4 0.04 0.47442 0.12526
0.5 0.5 0.4 0.05 0.46678 0.12081
0.5 0.5 0.4 0.06 0.46207 0.11234
0.5 0.5 0.4 0.07 0.45515 0.10688
0.5 0.5 0.4 0.08 0.44809 0.10327
0.5 0.5 0.4 0.09 0.44591 0.09745
0.5 0.5 0.4 0.1 0.44396 0.0943
0.5 0.5 0.4 0.11 0.43943 0.08918
0.5 0.5 0.4 0.12 0.43224 0.08721
0.5 0.5 0.4 0.13 0.43251 0.08289
0.5 0.5 0.4 0.14 0.43184 0.08353
0.5 0.5 0.4 0.15 0.4284 0.07926
0.5 0.5 0.4 0.16 0.42473 0.07545
0.5 0.5 0.4 0.17 0.42438 0.07502
0.5 0.5 0.4 0.18 0.42083 0.07272
0.5 0.5 0.4 0.19 0.41818 0.07072
0.5 0.5 0.4 0.2 0.41828 0.06952
0.5 0.5 0.4 0.21 0.41669 0.06817
0.5 0.5 0.4 0.22 0.41245 0.06539
0.5 0.5 0.4 0.23 0.41026 0.06433
0.5 0.5 0.4 0.24 0.40746 0.06178
0.5 0.5 0.4 0.25 0.40805 0.06043
0.5 0.5 0.4 0.26 0.40721 0.05885
0.5 0.5 0.4 0.27 0.40479 0.05708
0.5 0.5 0.4 0.28 0.40382 0.05521
0.5 0.5 0.4 0.29 0.40351 0.05549
0.5 0.5 0.4 0.3 0.39931 0.05307
0.5 0.5 0.4 0.31 0.40077 0.05143
0.5 0.5 0.4 0.32 0.39985 0.04964
0.5 0.5 0.4 0.33 0.40146 0.04927
0.5 0.5 0.4 0.34 0.39514 0.0466
0.5 0.5 0.4 0.35 0.39488 0.0465
0.5 0.5 0.4 0.36 0.39349 0.04393
0.5 0.5 0.4 0.37 0.38994 0.04442
0.5 0.5 0.4 0.38 0.39115 0.04296
0.5 0.5 0.4 0.39 0.38875 0.04148
0.5 0.5 0.4 0.4 0.38668 0.03956
0.5 0.5 0.4 0.41 0.38933 0.03895
0.5 0.5 0.4 0.42 0.38883 0.03875
0.5 0.5 0.4 0.43 0.38704 0.03741
0.5 0.5 0.4 0.44 0.38569 0.037
0.5 0.5 0.4 0.45 0.38386 0.03446
0.5 0.5 0.4 0.46 0.38545 0.03327
0.5 0.5 0.4 0.47 0.38371 0.03328
0.5 0.5 0.4 0.48 0.38088 0.03242
0.5 0.5 0.4 0.49 0.37772 0.03124
0.5 0.5 0.4 0.5 0.37824 0.03001
