"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.2 0 0.71762 0.06647
0.25 0.25 0.2 0.01 0.70317 0.05242
0.25 0.25 0.2 0.02 0.69436 0.04214
0.25 0.25 0.2 0.03 0.68424 0.03341
0.25 0.25 0.2 0.04 0.67852 0.02678
0.25 0.25 0.2 0.05 0.67354 0.02085
0.25 0.25 0.2 0.06 0.669 0.01661
0.25 0.25 0.2 0.07 0.66287 0.01321
0.25 0.25 0.2 0.08 0.6622 0.01065
0.25 0.25 0.2 0.09 0.66029 0.0094
0.25 0.25 0.2 0.1 0.65713 0.00666
0.25 0.25 0.2 0.11 0.65653 0.0054
0.25 0.25 0.2 0.12 0.6573 0.00423
0.25 0.25 0.2 0.13 0.65521 0.00282
0.25 0.25 0.2 0.14 0.65348 0.00176
0.25 0.25 0.2 0.15 0.65237 0.00126
0.25 0.25 0.2 0.16 0.65195 0.00062
0.25 0.25 0.2 0.17 0.65368 0.00028
0.25 0.25 0.2 0.18 0.65198 5e-05
0.25 0.25 0.2 0.19 0.65037 0
0.25 0.25 0.2 0.2 0.65074 0
0.25 0.25 0.2 0.21 0.65131 0
0.25 0.25 0.2 0.22 0.65113 0
0.25 0.25 0.2 0.23 0.65543 0
0.25 0.25 0.2 0.24 0.65335 0
0.25 0.25 0.2 0.25 0.65094 0
0.25 0.25 0.2 0.26 0.65243 0
0.25 0.25 0.2 0.27 0.65362 0
0.25 0.25 0.2 0.28 0.65397 0
0.25 0.25 0.2 0.29 0.6519 0
0.25 0.25 0.2 0.3 0.65242 0
0.25 0.25 0.2 0.31 0.65236 0
0.25 0.25 0.2 0.32 0.65316 0
0.25 0.25 0.2 0.33 0.6518 0
0.25 0.25 0.2 0.34 0.65071 0
0.25 0.25 0.2 0.35 0.65214 0
0.25 0.25 0.2 0.36 0.65377 0
0.25 0.25 0.2 0.37 0.64925 0
0.25 0.25 0.2 0.38 0.65155 0
0.25 0.25 0.2 0.39 0.65284 0
0.25 0.25 0.2 0.4 0.6515 0
0.25 0.25 0.2 0.41 0.65141 0
0.25 0.25 0.2 0.42 0.64993 0
0.25 0.25 0.2 0.43 0.65254 0
0.25 0.25 0.2 0.44 0.65254 0
0.25 0.25 0.2 0.45 0.65255 0
0.25 0.25 0.2 0.46 0.65252 0
0.25 0.25 0.2 0.47 0.65358 0
0.25 0.25 0.2 0.48 0.65077 0
0.25 0.25 0.2 0.49 0.65161 0
0.25 0.25 0.2 0.5 0.65234 0
