"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.7 0 0.5136 0.2541
0.5 0.5 0.7 0.01 0.5007 0.252
0.5 0.5 0.7 0.02 0.4945 0.2379
0.5 0.5 0.7 0.03 0.4815 0.228
0.5 0.5 0.7 0.04 0.4935 0.2338
0.5 0.5 0.7 0.05 0.4805 0.2225
0.5 0.5 0.7 0.06 0.4706 0.2218
0.5 0.5 0.7 0.07 0.4748 0.2171
0.5 0.5 0.7 0.08 0.4716 0.2161
0.5 0.5 0.7 0.09 0.4734 0.215
0.5 0.5 0.7 0.1 0.4625 0.2049
0.5 0.5 0.7 0.11 0.4673 0.2111
0.5 0.5 0.7 0.12 0.4607 0.2086
0.5 0.5 0.7 0.13 0.4746 0.209
0.5 0.5 0.7 0.14 0.4619 0.2041
0.5 0.5 0.7 0.15 0.4607 0.2058
0.5 0.5 0.7 0.16 0.4513 0.1949
0.5 0.5 0.7 0.17 0.4624 0.2032
0.5 0.5 0.7 0.18 0.4533 0.1961
0.5 0.5 0.7 0.19 0.4554 0.1945
0.5 0.5 0.7 0.2 0.4557 0.1955
0.5 0.5 0.7 0.21 0.4413 0.1853
0.5 0.5 0.7 0.22 0.4484 0.1938
0.5 0.5 0.7 0.23 0.4507 0.1899
0.5 0.5 0.7 0.24 0.4535 0.1919
0.5 0.5 0.7 0.25 0.4501 0.1896
0.5 0.5 0.7 0.26 0.4479 0.1895
0.5 0.5 0.7 0.27 0.4371 0.1777
0.5 0.5 0.7 0.28 0.4398 0.1796
0.5 0.5 0.7 0.29 0.4457 0.1858
0.5 0.5 0.7 0.3 0.4358 0.1805
0.5 0.5 0.7 0.31 0.437 0.1796
0.5 0.5 0.7 0.32 0.4309 0.1725
0.5 0.5 0.7 0.33 0.43 0.1722
0.5 0.5 0.7 0.34 0.4347 0.1745
0.5 0.5 0.7 0.35 0.4327 0.1807
0.5 0.5 0.7 0.36 0.4217 0.1695
0.5 0.5 0.7 0.37 0.4279 0.1675
0.5 0.5 0.7 0.38 0.4217 0.1671
0.5 0.5 0.7 0.39 0.4272 0.1666
0.5 0.5 0.7 0.4 0.4223 0.164
0.5 0.5 0.7 0.41 0.4294 0.1665
0.5 0.5 0.7 0.42 0.4203 0.1622
0.5 0.5 0.7 0.43 0.4186 0.1681
0.5 0.5 0.7 0.44 0.4204 0.1642
0.5 0.5 0.7 0.45 0.4201 0.1577
0.5 0.5 0.7 0.46 0.4248 0.1541
0.5 0.5 0.7 0.47 0.4265 0.1655
0.5 0.5 0.7 0.48 0.4198 0.1523
0.5 0.5 0.7 0.49 0.4257 0.1572
0.5 0.5 0.7 0.5 0.4053 0.1512
