"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.5 0 0.607333333333333 0.121033333333333
0.25 0.25 0.5 0.01 0.597233333333333 0.110933333333333
0.25 0.25 0.5 0.02 0.587733333333333 0.101433333333333
0.25 0.25 0.5 0.03 0.579466666666667 0.0931666666666667
0.25 0.25 0.5 0.04 0.5725 0.0862
0.25 0.25 0.5 0.05 0.5659 0.0796
0.25 0.25 0.5 0.06 0.56 0.0737
0.25 0.25 0.5 0.07 0.554466666666667 0.0681666666666667
0.25 0.25 0.5 0.08 0.549666666666667 0.0633666666666667
0.25 0.25 0.5 0.09 0.545866666666667 0.0595666666666667
0.25 0.25 0.5 0.1 0.5423 0.056
0.25 0.25 0.5 0.11 0.539366666666667 0.0530666666666667
0.25 0.25 0.5 0.12 0.536666666666667 0.0503666666666667
0.25 0.25 0.5 0.13 0.5339 0.0476
0.25 0.25 0.5 0.14 0.5319 0.0456
0.25 0.25 0.5 0.15 0.529533333333333 0.0432333333333333
0.25 0.25 0.5 0.16 0.5271 0.0408
0.25 0.25 0.5 0.17 0.524833333333333 0.0385333333333333
0.25 0.25 0.5 0.18 0.5228 0.0365
0.25 0.25 0.5 0.19 0.520466666666667 0.0341666666666667
0.25 0.25 0.5 0.2 0.5182 0.0319
0.25 0.25 0.5 0.21 0.5172 0.0309
0.25 0.25 0.5 0.22 0.515266666666667 0.0289666666666667
0.25 0.25 0.5 0.23 0.513666666666667 0.0273666666666667
0.25 0.25 0.5 0.24 0.512066666666667 0.0257666666666667
0.25 0.25 0.5 0.25 0.5107 0.0244
0.25 0.25 0.5 0.26 0.509433333333333 0.0231333333333333
0.25 0.25 0.5 0.27 0.5079 0.0216
0.25 0.25 0.5 0.28 0.506733333333333 0.0204333333333333
0.25 0.25 0.5 0.29 0.5054 0.0191
0.25 0.25 0.5 0.3 0.503966666666667 0.0176666666666667
0.25 0.25 0.5 0.31 0.503033333333333 0.0167333333333333
0.25 0.25 0.5 0.32 0.5018 0.0155
0.25 0.25 0.5 0.33 0.500666666666667 0.0143666666666667
0.25 0.25 0.5 0.34 0.4996 0.0133
0.25 0.25 0.5 0.35 0.4986 0.0123
0.25 0.25 0.5 0.36 0.497733333333333 0.0114333333333333
0.25 0.25 0.5 0.37 0.4969 0.0106
0.25 0.25 0.5 0.38 0.495966666666667 0.00966666666666667
0.25 0.25 0.5 0.39 0.494966666666667 0.00866666666666667
0.25 0.25 0.5 0.4 0.494466666666667 0.00816666666666667
0.25 0.25 0.5 0.41 0.493933333333333 0.00763333333333333
0.25 0.25 0.5 0.42 0.493066666666667 0.00676666666666667
0.25 0.25 0.5 0.43 0.492266666666667 0.00596666666666667
0.25 0.25 0.5 0.44 0.491666666666667 0.00536666666666667
0.25 0.25 0.5 0.45 0.491133333333333 0.00483333333333333
0.25 0.25 0.5 0.46 0.490333333333333 0.00403333333333333
0.25 0.25 0.5 0.47 0.4896 0.0033
0.25 0.25 0.5 0.48 0.489266666666667 0.00296666666666667
0.25 0.25 0.5 0.49 0.488633333333333 0.00233333333333333
0.25 0.25 0.5 0.5 0.488266666666667 0.00196666666666667
