"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.2 0 0.7241 0.07
0.25 0.25 0.2 0.01 0.7051 0.0515
0.25 0.25 0.2 0.02 0.6913 0.0423
0.25 0.25 0.2 0.03 0.679 0.0341
0.25 0.25 0.2 0.04 0.6847 0.0287
0.25 0.25 0.2 0.05 0.6729 0.0233
0.25 0.25 0.2 0.06 0.6624 0.0183
0.25 0.25 0.2 0.07 0.6643 0.0134
0.25 0.25 0.2 0.08 0.6658 0.0094
0.25 0.25 0.2 0.09 0.6613 0.0072
0.25 0.25 0.2 0.1 0.665 0.007
0.25 0.25 0.2 0.11 0.6529 0.0073
0.25 0.25 0.2 0.12 0.6529 0.005
0.25 0.25 0.2 0.13 0.6567 0.0025
0.25 0.25 0.2 0.14 0.65 0.0013
0.25 0.25 0.2 0.15 0.6592 0.0011
0.25 0.25 0.2 0.16 0.6551 8e-04
0.25 0.25 0.2 0.17 0.65 5e-04
0.25 0.25 0.2 0.18 0.6462 0
0.25 0.25 0.2 0.19 0.6568 0
0.25 0.25 0.2 0.2 0.6478 0
0.25 0.25 0.2 0.21 0.6491 0
0.25 0.25 0.2 0.22 0.6588 0
0.25 0.25 0.2 0.23 0.6522 0
0.25 0.25 0.2 0.24 0.6542 0
0.25 0.25 0.2 0.25 0.6537 0
0.25 0.25 0.2 0.26 0.6501 0
0.25 0.25 0.2 0.27 0.6514 0
0.25 0.25 0.2 0.28 0.6432 0
0.25 0.25 0.2 0.29 0.6579 0
0.25 0.25 0.2 0.3 0.6528 0
0.25 0.25 0.2 0.31 0.6512 0
0.25 0.25 0.2 0.32 0.6496 0
0.25 0.25 0.2 0.33 0.6504 0
0.25 0.25 0.2 0.34 0.6424 0
0.25 0.25 0.2 0.35 0.645 0
0.25 0.25 0.2 0.36 0.6565 0
0.25 0.25 0.2 0.37 0.6446 0
0.25 0.25 0.2 0.38 0.6514 0
0.25 0.25 0.2 0.39 0.6555 0
0.25 0.25 0.2 0.4 0.66 0
0.25 0.25 0.2 0.41 0.6564 0
0.25 0.25 0.2 0.42 0.6511 0
0.25 0.25 0.2 0.43 0.6546 0
0.25 0.25 0.2 0.44 0.658 0
0.25 0.25 0.2 0.45 0.6514 0
0.25 0.25 0.2 0.46 0.6503 0
0.25 0.25 0.2 0.47 0.6569 0
0.25 0.25 0.2 0.48 0.6563 0
0.25 0.25 0.2 0.49 0.6589 0
0.25 0.25 0.2 0.5 0.6549 0
