"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.6 0 0.59831 0.18571
0.25 0.25 0.6 0.01 0.58675 0.1739
0.25 0.25 0.6 0.02 0.57747 0.16822
0.25 0.25 0.6 0.03 0.57368 0.15897
0.25 0.25 0.6 0.04 0.56486 0.15409
0.25 0.25 0.6 0.05 0.56033 0.14833
0.25 0.25 0.6 0.06 0.5554 0.14303
0.25 0.25 0.6 0.07 0.5509 0.13907
0.25 0.25 0.6 0.08 0.54535 0.13525
0.25 0.25 0.6 0.09 0.54383 0.13169
0.25 0.25 0.6 0.1 0.53849 0.12748
0.25 0.25 0.6 0.11 0.53797 0.12517
0.25 0.25 0.6 0.12 0.53688 0.1243
0.25 0.25 0.6 0.13 0.53452 0.11935
0.25 0.25 0.6 0.14 0.53056 0.11724
0.25 0.25 0.6 0.15 0.52819 0.11452
0.25 0.25 0.6 0.16 0.52438 0.11144
0.25 0.25 0.6 0.17 0.52366 0.11115
0.25 0.25 0.6 0.18 0.52119 0.10899
0.25 0.25 0.6 0.19 0.52052 0.10732
0.25 0.25 0.6 0.2 0.51819 0.1043
0.25 0.25 0.6 0.21 0.51742 0.10225
0.25 0.25 0.6 0.22 0.51187 0.10204
0.25 0.25 0.6 0.23 0.51007 0.09862
0.25 0.25 0.6 0.24 0.50587 0.09674
0.25 0.25 0.6 0.25 0.5057 0.09445
0.25 0.25 0.6 0.26 0.50518 0.09313
0.25 0.25 0.6 0.27 0.50484 0.09145
0.25 0.25 0.6 0.28 0.50174 0.08941
0.25 0.25 0.6 0.29 0.5009 0.08771
0.25 0.25 0.6 0.3 0.49922 0.08681
0.25 0.25 0.6 0.31 0.49648 0.08489
0.25 0.25 0.6 0.32 0.49541 0.08294
0.25 0.25 0.6 0.33 0.48866 0.0812
0.25 0.25 0.6 0.34 0.49068 0.0796
0.25 0.25 0.6 0.35 0.49139 0.07758
0.25 0.25 0.6 0.36 0.48839 0.07724
0.25 0.25 0.6 0.37 0.48607 0.07355
0.25 0.25 0.6 0.38 0.48505 0.07641
0.25 0.25 0.6 0.39 0.48562 0.07201
0.25 0.25 0.6 0.4 0.48391 0.07117
0.25 0.25 0.6 0.41 0.48263 0.06895
0.25 0.25 0.6 0.42 0.47807 0.06734
0.25 0.25 0.6 0.43 0.48084 0.06564
0.25 0.25 0.6 0.44 0.48104 0.06829
0.25 0.25 0.6 0.45 0.47802 0.065
0.25 0.25 0.6 0.46 0.47528 0.06395
0.25 0.25 0.6 0.47 0.47662 0.06218
0.25 0.25 0.6 0.48 0.47251 0.06091
0.25 0.25 0.6 0.49 0.47442 0.06093
0.25 0.25 0.6 0.5 0.46908 0.05826
