"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0 0 0.759666666666667 0.0321333333333333
0.25 0.25 0 0.01 0.747233333333333 0.0197
0.25 0.25 0 0.02 0.739533333333333 0.012
0.25 0.25 0 0.03 0.733933333333333 0.0064
0.25 0.25 0 0.04 0.730133333333333 0.0026
0.25 0.25 0 0.05 0.7283 0.000766666666666667
0.25 0.25 0 0.06 0.727533333333333 0
0.25 0.25 0 0.07 0.727533333333333 0
0.25 0.25 0 0.08 0.727533333333333 0
0.25 0.25 0 0.09 0.727533333333333 0
0.25 0.25 0 0.1 0.727533333333333 0
0.25 0.25 0 0.11 0.727533333333333 0
0.25 0.25 0 0.12 0.727533333333333 0
0.25 0.25 0 0.13 0.727533333333333 0
0.25 0.25 0 0.14 0.727533333333333 0
0.25 0.25 0 0.15 0.727533333333333 0
0.25 0.25 0 0.16 0.727533333333333 0
0.25 0.25 0 0.17 0.727533333333333 0
0.25 0.25 0 0.18 0.727533333333333 0
0.25 0.25 0 0.19 0.727533333333333 0
0.25 0.25 0 0.2 0.727533333333333 0
0.25 0.25 0 0.21 0.727533333333333 0
0.25 0.25 0 0.22 0.727533333333333 0
0.25 0.25 0 0.23 0.727533333333333 0
0.25 0.25 0 0.24 0.727533333333333 0
0.25 0.25 0 0.25 0.727533333333333 0
0.25 0.25 0 0.26 0.727533333333333 0
0.25 0.25 0 0.27 0.727533333333333 0
0.25 0.25 0 0.28 0.727533333333333 0
0.25 0.25 0 0.29 0.727533333333333 0
0.25 0.25 0 0.3 0.727533333333333 0
0.25 0.25 0 0.31 0.727533333333333 0
0.25 0.25 0 0.32 0.727533333333333 0
0.25 0.25 0 0.33 0.727533333333333 0
0.25 0.25 0 0.34 0.727533333333333 0
0.25 0.25 0 0.35 0.727533333333333 0
0.25 0.25 0 0.36 0.727533333333333 0
0.25 0.25 0 0.37 0.727533333333333 0
0.25 0.25 0 0.38 0.727533333333333 0
0.25 0.25 0 0.39 0.727533333333333 0
0.25 0.25 0 0.4 0.727533333333333 0
0.25 0.25 0 0.41 0.727533333333333 0
0.25 0.25 0 0.42 0.727533333333333 0
0.25 0.25 0 0.43 0.727533333333333 0
0.25 0.25 0 0.44 0.727533333333333 0
0.25 0.25 0 0.45 0.727533333333333 0
0.25 0.25 0 0.46 0.727533333333333 0
0.25 0.25 0 0.47 0.727533333333333 0
0.25 0.25 0 0.48 0.727533333333333 0
0.25 0.25 0 0.49 0.727533333333333 0
0.25 0.25 0 0.5 0.727533333333333 0
