"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.2 0 0.5091 0.1228
0.5 0.5 0.2 0.01 0.4791 0.1104
0.5 0.5 0.2 0.02 0.4758 0.0983
0.5 0.5 0.2 0.03 0.4626 0.0869
0.5 0.5 0.2 0.04 0.4487 0.0809
0.5 0.5 0.2 0.05 0.45 0.0735
0.5 0.5 0.2 0.06 0.4493 0.0659
0.5 0.5 0.2 0.07 0.4419 0.0603
0.5 0.5 0.2 0.08 0.4361 0.058
0.5 0.5 0.2 0.09 0.427 0.0497
0.5 0.5 0.2 0.1 0.425 0.0477
0.5 0.5 0.2 0.11 0.4225 0.0424
0.5 0.5 0.2 0.12 0.4158 0.0385
0.5 0.5 0.2 0.13 0.4259 0.0355
0.5 0.5 0.2 0.14 0.4127 0.0319
0.5 0.5 0.2 0.15 0.4046 0.0267
0.5 0.5 0.2 0.16 0.414 0.0297
0.5 0.5 0.2 0.17 0.4063 0.0241
0.5 0.5 0.2 0.18 0.3946 0.0203
0.5 0.5 0.2 0.19 0.3942 0.0208
0.5 0.5 0.2 0.2 0.3999 0.0201
0.5 0.5 0.2 0.21 0.3996 0.0203
0.5 0.5 0.2 0.22 0.3948 0.0156
0.5 0.5 0.2 0.23 0.3944 0.0171
0.5 0.5 0.2 0.24 0.3905 0.0126
0.5 0.5 0.2 0.25 0.3917 0.0126
0.5 0.5 0.2 0.26 0.3858 0.0132
0.5 0.5 0.2 0.27 0.3877 0.0112
0.5 0.5 0.2 0.28 0.3885 0.0104
0.5 0.5 0.2 0.29 0.3899 0.0082
0.5 0.5 0.2 0.3 0.3855 0.0067
0.5 0.5 0.2 0.31 0.3874 0.007
0.5 0.5 0.2 0.32 0.3791 0.0067
0.5 0.5 0.2 0.33 0.386 0.005
0.5 0.5 0.2 0.34 0.384 0.0047
0.5 0.5 0.2 0.35 0.3838 0.0042
0.5 0.5 0.2 0.36 0.3732 0.0033
0.5 0.5 0.2 0.37 0.3713 0.0035
0.5 0.5 0.2 0.38 0.3737 0.0029
0.5 0.5 0.2 0.39 0.3764 0.0026
0.5 0.5 0.2 0.4 0.3703 0.0018
0.5 0.5 0.2 0.41 0.3811 7e-04
0.5 0.5 0.2 0.42 0.3717 0.0013
0.5 0.5 0.2 0.43 0.3789 8e-04
0.5 0.5 0.2 0.44 0.3854 3e-04
0.5 0.5 0.2 0.45 0.3732 3e-04
0.5 0.5 0.2 0.46 0.3817 1e-04
0.5 0.5 0.2 0.47 0.374 2e-04
0.5 0.5 0.2 0.48 0.3804 1e-04
0.5 0.5 0.2 0.49 0.3788 0
0.5 0.5 0.2 0.5 0.3794 0
