"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.8 0 0.50519 0.30152
0.5 0.5 0.8 0.01 0.50061 0.29653
0.5 0.5 0.8 0.02 0.49236 0.28938
0.5 0.5 0.8 0.03 0.49272 0.28914
0.5 0.5 0.8 0.04 0.49251 0.28792
0.5 0.5 0.8 0.05 0.48781 0.28363
0.5 0.5 0.8 0.06 0.4852 0.27895
0.5 0.5 0.8 0.07 0.48096 0.27687
0.5 0.5 0.8 0.08 0.47866 0.27504
0.5 0.5 0.8 0.09 0.47451 0.26933
0.5 0.5 0.8 0.1 0.47568 0.26883
0.5 0.5 0.8 0.11 0.47184 0.26668
0.5 0.5 0.8 0.12 0.47005 0.26498
0.5 0.5 0.8 0.13 0.46907 0.26249
0.5 0.5 0.8 0.14 0.46742 0.26265
0.5 0.5 0.8 0.15 0.46644 0.26203
0.5 0.5 0.8 0.16 0.46881 0.26079
0.5 0.5 0.8 0.17 0.46445 0.25755
0.5 0.5 0.8 0.18 0.46238 0.25649
0.5 0.5 0.8 0.19 0.46098 0.25665
0.5 0.5 0.8 0.2 0.46063 0.25423
0.5 0.5 0.8 0.21 0.46172 0.25215
0.5 0.5 0.8 0.22 0.45957 0.2509
0.5 0.5 0.8 0.23 0.46052 0.25314
0.5 0.5 0.8 0.24 0.45755 0.24838
0.5 0.5 0.8 0.25 0.45547 0.24886
0.5 0.5 0.8 0.26 0.45324 0.24678
0.5 0.5 0.8 0.27 0.45396 0.24662
0.5 0.5 0.8 0.28 0.45481 0.24422
0.5 0.5 0.8 0.29 0.4558 0.24456
0.5 0.5 0.8 0.3 0.453 0.24209
0.5 0.5 0.8 0.31 0.44918 0.24016
0.5 0.5 0.8 0.32 0.4496 0.24049
0.5 0.5 0.8 0.33 0.44829 0.23796
0.5 0.5 0.8 0.34 0.44759 0.23726
0.5 0.5 0.8 0.35 0.44605 0.23493
0.5 0.5 0.8 0.36 0.44762 0.23753
0.5 0.5 0.8 0.37 0.44614 0.2363
0.5 0.5 0.8 0.38 0.44188 0.2308
0.5 0.5 0.8 0.39 0.44422 0.23372
0.5 0.5 0.8 0.4 0.43966 0.22986
0.5 0.5 0.8 0.41 0.44329 0.23005
0.5 0.5 0.8 0.42 0.4426 0.22932
0.5 0.5 0.8 0.43 0.44217 0.22741
0.5 0.5 0.8 0.44 0.43623 0.22414
0.5 0.5 0.8 0.45 0.43943 0.22526
0.5 0.5 0.8 0.46 0.44209 0.22741
0.5 0.5 0.8 0.47 0.43651 0.22455
0.5 0.5 0.8 0.48 0.43591 0.22245
0.5 0.5 0.8 0.49 0.43476 0.21845
0.5 0.5 0.8 0.5 0.43421 0.2193
