"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.5 0 0.4674 0.145633333333333
0.5 0.5 0.5 0.01 0.4559 0.134133333333333
0.5 0.5 0.5 0.02 0.4472 0.125433333333333
0.5 0.5 0.5 0.03 0.439866666666667 0.1181
0.5 0.5 0.5 0.04 0.4328 0.111033333333333
0.5 0.5 0.5 0.05 0.4268 0.105033333333333
0.5 0.5 0.5 0.06 0.4204 0.0986333333333333
0.5 0.5 0.5 0.07 0.415633333333333 0.0938666666666667
0.5 0.5 0.5 0.08 0.4112 0.0894333333333333
0.5 0.5 0.5 0.09 0.407 0.0852333333333333
0.5 0.5 0.5 0.1 0.4031 0.0813333333333333
0.5 0.5 0.5 0.11 0.400166666666667 0.0784
0.5 0.5 0.5 0.12 0.397133333333333 0.0753666666666667
0.5 0.5 0.5 0.13 0.394533333333333 0.0727666666666667
0.5 0.5 0.5 0.14 0.392266666666667 0.0705
0.5 0.5 0.5 0.15 0.390133333333333 0.0683666666666667
0.5 0.5 0.5 0.16 0.388066666666667 0.0663
0.5 0.5 0.5 0.17 0.386666666666667 0.0649
0.5 0.5 0.5 0.18 0.384666666666667 0.0629
0.5 0.5 0.5 0.19 0.382733333333333 0.0609666666666667
0.5 0.5 0.5 0.2 0.381066666666667 0.0593
0.5 0.5 0.5 0.21 0.379133333333333 0.0573666666666667
0.5 0.5 0.5 0.22 0.377633333333333 0.0558666666666667
0.5 0.5 0.5 0.23 0.376166666666667 0.0544
0.5 0.5 0.5 0.24 0.374666666666667 0.0529
0.5 0.5 0.5 0.25 0.3731 0.0513333333333333
0.5 0.5 0.5 0.26 0.371566666666667 0.0498
0.5 0.5 0.5 0.27 0.370633333333333 0.0488666666666667
0.5 0.5 0.5 0.28 0.3696 0.0478333333333333
0.5 0.5 0.5 0.29 0.3684 0.0466333333333333
0.5 0.5 0.5 0.3 0.367133333333333 0.0453666666666667
0.5 0.5 0.5 0.31 0.365866666666667 0.0441
0.5 0.5 0.5 0.32 0.364633333333333 0.0428666666666667
0.5 0.5 0.5 0.33 0.363233333333333 0.0414666666666667
0.5 0.5 0.5 0.34 0.362066666666667 0.0403
0.5 0.5 0.5 0.35 0.361333333333333 0.0395666666666667
0.5 0.5 0.5 0.36 0.359966666666667 0.0382
0.5 0.5 0.5 0.37 0.3586 0.0368333333333333
0.5 0.5 0.5 0.38 0.3574 0.0356333333333333
0.5 0.5 0.5 0.39 0.356466666666667 0.0347
0.5 0.5 0.5 0.4 0.355533333333333 0.0337666666666667
0.5 0.5 0.5 0.41 0.3544 0.0326333333333333
0.5 0.5 0.5 0.42 0.353366666666667 0.0316
0.5 0.5 0.5 0.43 0.352233333333333 0.0304666666666667
0.5 0.5 0.5 0.44 0.351366666666667 0.0296
0.5 0.5 0.5 0.45 0.350366666666667 0.0286
0.5 0.5 0.5 0.46 0.3494 0.0276333333333333
0.5 0.5 0.5 0.47 0.348333333333333 0.0265666666666667
0.5 0.5 0.5 0.48 0.347366666666667 0.0256
0.5 0.5 0.5 0.49 0.346633333333333 0.0248666666666667
0.5 0.5 0.5 0.5 0.3458 0.0240333333333333
