"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.2 0 0.712866666666667 0.0630333333333333
0.25 0.25 0.2 0.01 0.6986 0.0487666666666667
0.25 0.25 0.2 0.02 0.688266666666667 0.0384333333333333
0.25 0.25 0.2 0.03 0.6804 0.0305666666666667
0.25 0.25 0.2 0.04 0.674 0.0241666666666667
0.25 0.25 0.2 0.05 0.668333333333333 0.0185
0.25 0.25 0.2 0.06 0.664566666666667 0.0147333333333333
0.25 0.25 0.2 0.07 0.6604 0.0105666666666667
0.25 0.25 0.2 0.08 0.658233333333333 0.0084
0.25 0.25 0.2 0.09 0.656433333333333 0.0066
0.25 0.25 0.2 0.1 0.654933333333333 0.0051
0.25 0.25 0.2 0.11 0.6538 0.00396666666666667
0.25 0.25 0.2 0.12 0.652633333333333 0.0028
0.25 0.25 0.2 0.13 0.651566666666667 0.00173333333333333
0.25 0.25 0.2 0.14 0.650833333333333 0.001
0.25 0.25 0.2 0.15 0.650233333333333 4e-04
0.25 0.25 0.2 0.16 0.649966666666667 0.000133333333333333
0.25 0.25 0.2 0.17 0.649833333333333 0
0.25 0.25 0.2 0.18 0.649833333333333 0
0.25 0.25 0.2 0.19 0.649833333333333 0
0.25 0.25 0.2 0.2 0.649833333333333 0
0.25 0.25 0.2 0.21 0.649833333333333 0
0.25 0.25 0.2 0.22 0.649833333333333 0
0.25 0.25 0.2 0.23 0.649833333333333 0
0.25 0.25 0.2 0.24 0.649833333333333 0
0.25 0.25 0.2 0.25 0.649833333333333 0
0.25 0.25 0.2 0.26 0.649833333333333 0
0.25 0.25 0.2 0.27 0.649833333333333 0
0.25 0.25 0.2 0.28 0.649833333333333 0
0.25 0.25 0.2 0.29 0.649833333333333 0
0.25 0.25 0.2 0.3 0.649833333333333 0
0.25 0.25 0.2 0.31 0.649833333333333 0
0.25 0.25 0.2 0.32 0.649833333333333 0
0.25 0.25 0.2 0.33 0.649833333333333 0
0.25 0.25 0.2 0.34 0.649833333333333 0
0.25 0.25 0.2 0.35 0.649833333333333 0
0.25 0.25 0.2 0.36 0.649833333333333 0
0.25 0.25 0.2 0.37 0.649833333333333 0
0.25 0.25 0.2 0.38 0.649833333333333 0
0.25 0.25 0.2 0.39 0.649833333333333 0
0.25 0.25 0.2 0.4 0.649833333333333 0
0.25 0.25 0.2 0.41 0.649833333333333 0
0.25 0.25 0.2 0.42 0.649833333333333 0
0.25 0.25 0.2 0.43 0.649833333333333 0
0.25 0.25 0.2 0.44 0.649833333333333 0
0.25 0.25 0.2 0.45 0.649833333333333 0
0.25 0.25 0.2 0.46 0.649833333333333 0
0.25 0.25 0.2 0.47 0.649833333333333 0
0.25 0.25 0.2 0.48 0.649833333333333 0
0.25 0.25 0.2 0.49 0.649833333333333 0
0.25 0.25 0.2 0.5 0.649833333333333 0
