"hf" "hm" "C" "r" "PrP" "rPrP"
0.25 0.25 0.3 0 0.69079 0.08941
0.25 0.25 0.3 0.01 0.67658 0.0732
0.25 0.25 0.3 0.02 0.67074 0.0635
0.25 0.25 0.3 0.03 0.65724 0.05601
0.25 0.25 0.3 0.04 0.65334 0.04933
0.25 0.25 0.3 0.05 0.64748 0.04214
0.25 0.25 0.3 0.06 0.63788 0.03737
0.25 0.25 0.3 0.07 0.63648 0.03291
0.25 0.25 0.3 0.08 0.6352 0.02932
0.25 0.25 0.3 0.09 0.62942 0.02654
0.25 0.25 0.3 0.1 0.62685 0.02268
0.25 0.25 0.3 0.11 0.62382 0.02154
0.25 0.25 0.3 0.12 0.62262 0.01848
0.25 0.25 0.3 0.13 0.61934 0.01579
0.25 0.25 0.3 0.14 0.61822 0.01454
0.25 0.25 0.3 0.15 0.6183 0.01338
0.25 0.25 0.3 0.16 0.61401 0.01101
0.25 0.25 0.3 0.17 0.61047 0.00902
0.25 0.25 0.3 0.18 0.61099 0.00841
0.25 0.25 0.3 0.19 0.6096 0.00683
0.25 0.25 0.3 0.2 0.61186 0.00603
0.25 0.25 0.3 0.21 0.60726 0.00486
0.25 0.25 0.3 0.22 0.60709 0.00414
0.25 0.25 0.3 0.23 0.60518 0.00297
0.25 0.25 0.3 0.24 0.60567 0.00241
0.25 0.25 0.3 0.25 0.60098 0.00172
0.25 0.25 0.3 0.26 0.60451 0.00127
0.25 0.25 0.3 0.27 0.60389 0.00089
0.25 0.25 0.3 0.28 0.60457 0.00075
0.25 0.25 0.3 0.29 0.60147 0.00031
0.25 0.25 0.3 0.3 0.60378 0.00016
0.25 0.25 0.3 0.31 0.60485 5e-05
0.25 0.25 0.3 0.32 0.60344 0
0.25 0.25 0.3 0.33 0.60234 0
0.25 0.25 0.3 0.34 0.60316 0
0.25 0.25 0.3 0.35 0.60191 0
0.25 0.25 0.3 0.36 0.60411 0
0.25 0.25 0.3 0.37 0.60279 0
0.25 0.25 0.3 0.38 0.60459 0
0.25 0.25 0.3 0.39 0.60318 0
0.25 0.25 0.3 0.4 0.60404 0
0.25 0.25 0.3 0.41 0.60383 0
0.25 0.25 0.3 0.42 0.60601 0
0.25 0.25 0.3 0.43 0.60209 0
0.25 0.25 0.3 0.44 0.60423 0
0.25 0.25 0.3 0.45 0.60375 0
0.25 0.25 0.3 0.46 0.60516 0
0.25 0.25 0.3 0.47 0.60239 0
0.25 0.25 0.3 0.48 0.60316 0
0.25 0.25 0.3 0.49 0.60679 0
0.25 0.25 0.3 0.5 0.6 0
