"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0 0 0.4852 0.095
0.5 0.5 0 0.01 0.4657 0.0837
0.5 0.5 0 0.02 0.452 0.0703
0.5 0.5 0 0.03 0.4492 0.0584
0.5 0.5 0 0.04 0.4388 0.0516
0.5 0.5 0 0.05 0.4342 0.0486
0.5 0.5 0 0.06 0.4167 0.0379
0.5 0.5 0 0.07 0.4189 0.0297
0.5 0.5 0 0.08 0.4231 0.0307
0.5 0.5 0 0.09 0.4096 0.0224
0.5 0.5 0 0.1 0.3997 0.0161
0.5 0.5 0 0.11 0.4008 0.0137
0.5 0.5 0 0.12 0.4029 0.0119
0.5 0.5 0 0.13 0.399 0.0062
0.5 0.5 0 0.14 0.3904 0.0065
0.5 0.5 0 0.15 0.3872 0.0048
0.5 0.5 0 0.16 0.3898 0.0027
0.5 0.5 0 0.17 0.3874 0.0017
0.5 0.5 0 0.18 0.3844 9e-04
0.5 0.5 0 0.19 0.3898 0
0.5 0.5 0 0.2 0.38 0
0.5 0.5 0 0.21 0.3792 0
0.5 0.5 0 0.22 0.39 0
0.5 0.5 0 0.23 0.398 0
0.5 0.5 0 0.24 0.3763 0
0.5 0.5 0 0.25 0.3908 0
0.5 0.5 0 0.26 0.3774 0
0.5 0.5 0 0.27 0.3803 0
0.5 0.5 0 0.28 0.3763 0
0.5 0.5 0 0.29 0.3892 0
0.5 0.5 0 0.3 0.3833 0
0.5 0.5 0 0.31 0.3846 0
0.5 0.5 0 0.32 0.3911 0
0.5 0.5 0 0.33 0.3864 0
0.5 0.5 0 0.34 0.3878 0
0.5 0.5 0 0.35 0.3931 0
0.5 0.5 0 0.36 0.3951 0
0.5 0.5 0 0.37 0.3852 0
0.5 0.5 0 0.38 0.388 0
0.5 0.5 0 0.39 0.383 0
0.5 0.5 0 0.4 0.3912 0
0.5 0.5 0 0.41 0.3914 0
0.5 0.5 0 0.42 0.3891 0
0.5 0.5 0 0.43 0.3767 0
0.5 0.5 0 0.44 0.3879 0
0.5 0.5 0 0.45 0.3859 0
0.5 0.5 0 0.46 0.4003 0
0.5 0.5 0 0.47 0.3807 0
0.5 0.5 0 0.48 0.3827 0
0.5 0.5 0 0.49 0.3828 0
0.5 0.5 0 0.5 0.3904 0
