"hf" "hm" "C" "r" "PrP" "rPrP"
0.5 0.5 0.9 0 0.49787 0.36639
0.5 0.5 0.9 0.01 0.49362 0.36156
0.5 0.5 0.9 0.02 0.493 0.35983
0.5 0.5 0.9 0.03 0.4915 0.35868
0.5 0.5 0.9 0.04 0.48892 0.35693
0.5 0.5 0.9 0.05 0.49163 0.35595
0.5 0.5 0.9 0.06 0.48599 0.35293
0.5 0.5 0.9 0.07 0.48382 0.35234
0.5 0.5 0.9 0.08 0.48543 0.35136
0.5 0.5 0.9 0.09 0.48268 0.34839
0.5 0.5 0.9 0.1 0.47844 0.3476
0.5 0.5 0.9 0.11 0.4804 0.34703
0.5 0.5 0.9 0.12 0.47841 0.34384
0.5 0.5 0.9 0.13 0.47985 0.34433
0.5 0.5 0.9 0.14 0.4785 0.34354
0.5 0.5 0.9 0.15 0.47855 0.34362
0.5 0.5 0.9 0.16 0.47858 0.3425
0.5 0.5 0.9 0.17 0.47237 0.33735
0.5 0.5 0.9 0.18 0.47388 0.33879
0.5 0.5 0.9 0.19 0.4729 0.33849
0.5 0.5 0.9 0.2 0.47687 0.33838
0.5 0.5 0.9 0.21 0.47112 0.3364
0.5 0.5 0.9 0.22 0.47135 0.33369
0.5 0.5 0.9 0.23 0.46926 0.33295
0.5 0.5 0.9 0.24 0.47105 0.33374
0.5 0.5 0.9 0.25 0.47077 0.33542
0.5 0.5 0.9 0.26 0.46813 0.332
0.5 0.5 0.9 0.27 0.46851 0.33139
0.5 0.5 0.9 0.28 0.46497 0.32744
0.5 0.5 0.9 0.29 0.46555 0.3272
0.5 0.5 0.9 0.3 0.46931 0.33069
0.5 0.5 0.9 0.31 0.46864 0.33022
0.5 0.5 0.9 0.32 0.46424 0.32514
0.5 0.5 0.9 0.33 0.46457 0.32433
0.5 0.5 0.9 0.34 0.46644 0.326
0.5 0.5 0.9 0.35 0.46519 0.32427
0.5 0.5 0.9 0.36 0.46388 0.32374
0.5 0.5 0.9 0.37 0.46305 0.32249
0.5 0.5 0.9 0.38 0.45991 0.31927
0.5 0.5 0.9 0.39 0.45841 0.31932
0.5 0.5 0.9 0.4 0.46298 0.32162
0.5 0.5 0.9 0.41 0.4618 0.31972
0.5 0.5 0.9 0.42 0.4567 0.31541
0.5 0.5 0.9 0.43 0.45979 0.31796
0.5 0.5 0.9 0.44 0.45795 0.31567
0.5 0.5 0.9 0.45 0.45966 0.31667
0.5 0.5 0.9 0.46 0.46053 0.31787
0.5 0.5 0.9 0.47 0.45782 0.31359
0.5 0.5 0.9 0.48 0.45634 0.31437
0.5 0.5 0.9 0.49 0.45615 0.31245
0.5 0.5 0.9 0.5 0.45574 0.31195
